source_record_id,source_id,source_workflow_run_id,source_artifact_name,source_artifact_digest_sha256,snapshot_name,snapshot_sha256,retrieved_at_utc,bps_last_update,bps_var_id,bps_var_label,bps_vervar_id,bps_vervar_label,bps_turvar_id,bps_turvar_label,bps_th_id,bps_th_label,source_period_type,value,unit,source_integrity_status,current_geography_mapping_status,canonical_indicator_target,growth_input_status,notes
bps484_1980_1306_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1306,Padang Pariaman,34,Laki-Laki + Perempuan,80,1980,census,622192,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1307_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1307,Agam,34,Laki-Laki + Perempuan,80,1980,census,411368,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1308_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1308,Lima Puluh Kota,34,Laki-Laki + Perempuan,80,1980,census,245764,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1309_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1309,Pasaman,34,Laki-Laki + Perempuan,80,1980,census,360139,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1371_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1371,Padang,34,Laki-Laki + Perempuan,80,1980,census,480607,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1372_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1372,Kota Solok,34,Laki-Laki + Perempuan,80,1980,census,32657,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1373_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1373,Sawahlunto,34,Laki-Laki + Perempuan,80,1980,census,13777,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1374_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1374,Padang Panjang,34,Laki-Laki + Perempuan,80,1980,census,32104,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1375_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1375,Bukittinggi,34,Laki-Laki + Perempuan,80,1980,census,70041,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1980_1376_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1980.json,4628609fe7095b8c32962ac31b39e760b35da53765021137aa90e2fdf78abbd1,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1376,Payakumbuh,34,Laki-Laki + Perempuan,80,1980,census,77602,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
