year,geography_id,geography_name,source_geography_name,irbi_score,risk_class,unit,claim_type,source_family,source_page
2022,idn.13.1305,Tanah Datar,TANAH DATAR,125.20,,index_points,official_index,BNPB IRBI 2024,67
2023,idn.13.1305,Tanah Datar,TANAH DATAR,125.20,,index_points,official_index,BNPB IRBI 2024,67
2024,idn.13.1305,Tanah Datar,TANAH DATAR,125.20,sedang,index_points,official_index,BNPB IRBI 2024,67
2015,idn.13.1372,Solok,KOTA SOLOK,125.20,,index_points,official_index,BNPB IRBI 2024,67
2016,idn.13.1372,Solok,KOTA SOLOK,125.20,,index_points,official_index,BNPB IRBI 2024,67
2017,idn.13.1372,Solok,KOTA SOLOK,125.20,,index_points,official_index,BNPB IRBI 2024,67
2018,idn.13.1372,Solok,KOTA SOLOK,125.20,,index_points,official_index,BNPB IRBI 2024,67
2019,idn.13.1372,Solok,KOTA SOLOK,125.20,,index_points,official_index,BNPB IRBI 2024,67
2020,idn.13.1372,Solok,KOTA SOLOK,125.20,,index_points,official_index,BNPB IRBI 2024,67
2021,idn.13.1372,Solok,KOTA SOLOK,125.20,,index_points,official_index,BNPB IRBI 2024,67
2022,idn.13.1372,Solok,KOTA SOLOK,115.82,,index_points,official_index,BNPB IRBI 2024,67
2023,idn.13.1372,Solok,KOTA SOLOK,121.93,,index_points,official_index,BNPB IRBI 2024,67
2024,idn.13.1372,Solok,KOTA SOLOK,124.92,sedang,index_points,official_index,BNPB IRBI 2024,67
2015,idn.13.1310,Solok Selatan,SOLOK SELATAN,137.20,,index_points,official_index,BNPB IRBI 2024,67
2016,idn.13.1310,Solok Selatan,SOLOK SELATAN,137.20,,index_points,official_index,BNPB IRBI 2024,67
2017,idn.13.1310,Solok Selatan,SOLOK SELATAN,137.20,,index_points,official_index,BNPB IRBI 2024,67
2018,idn.13.1310,Solok Selatan,SOLOK SELATAN,137.20,,index_points,official_index,BNPB IRBI 2024,67
2019,idn.13.1310,Solok Selatan,SOLOK SELATAN,137.20,,index_points,official_index,BNPB IRBI 2024,67
2020,idn.13.1310,Solok Selatan,SOLOK SELATAN,137.20,,index_points,official_index,BNPB IRBI 2024,67
2021,idn.13.1310,Solok Selatan,SOLOK SELATAN,137.20,,index_points,official_index,BNPB IRBI 2024,67
2022,idn.13.1310,Solok Selatan,SOLOK SELATAN,137.20,,index_points,official_index,BNPB IRBI 2024,67
2023,idn.13.1310,Solok Selatan,SOLOK SELATAN,130.03,,index_points,official_index,BNPB IRBI 2024,67
2024,idn.13.1310,Solok Selatan,SOLOK SELATAN,123.31,sedang,index_points,official_index,BNPB IRBI 2024,67
2015,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,,index_points,official_index,BNPB IRBI 2024,67
2016,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,,index_points,official_index,BNPB IRBI 2024,67
2017,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,,index_points,official_index,BNPB IRBI 2024,67
2018,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,,index_points,official_index,BNPB IRBI 2024,67
2019,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,,index_points,official_index,BNPB IRBI 2024,67
2020,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,,index_points,official_index,BNPB IRBI 2024,67
2021,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,,index_points,official_index,BNPB IRBI 2024,67
2022,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,,index_points,official_index,BNPB IRBI 2024,67
2023,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,,index_points,official_index,BNPB IRBI 2024,67
2024,idn.13.1308,Lima Puluh Kota,LIMA PULUH KOTA,119.20,sedang,index_points,official_index,BNPB IRBI 2024,67
2015,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,113.20,,index_points,official_index,BNPB IRBI 2024,67
2016,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,113.20,,index_points,official_index,BNPB IRBI 2024,67
