geography_id,canonical_name,djpk_province_selector,djpk_pemda_selector,djpk_source_name,year,period_selector,conceptual_family,source_account_label,source_account_label_normalized,budget_rupiah_raw,realization_rupiah_raw,realization_idr_billion,percentage_raw,html_display_realization_raw,html_crosscheck_status,taxonomy_contract_type,claim_type,html_response_sha256,export_response_sha256
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2024,12,own_source_revenue_pad,PAD,pad,110317189490,103862875680.99,103.86287568099,94.15,"103,86 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,252305469b9a95435647598ce821e5822ea8ba61f5a526b8b2d684827a5e4307,2cf747ca9548d8e533e981c139285e8f32e3c0c06980279227548af1c307d3f9
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2024,12,total_expenditure,Belanja Daerah,belanja daerah,1335163791758,1345384322840.1,1345.3843228401,100.77,"1.345,38 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,252305469b9a95435647598ce821e5822ea8ba61f5a526b8b2d684827a5e4307,2cf747ca9548d8e533e981c139285e8f32e3c0c06980279227548af1c307d3f9
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2024,12,capital_expenditure,Belanja Modal,belanja modal,129071180306,122022677128,122.022677128,94.54,"122,02 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,252305469b9a95435647598ce821e5822ea8ba61f5a526b8b2d684827a5e4307,2cf747ca9548d8e533e981c139285e8f32e3c0c06980279227548af1c307d3f9
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2025,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1357905038595,1395845603755.4,1395.8456037554,102.79,"1.395,85 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,e5af68d6acd905415aed18ad1f56075ef1ffd0ba3110aff2c92d7049c69de388,c9ee687887c183c043c8b078737917d34250ee438cc259896669a05b2f3d0e21
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2025,12,own_source_revenue_pad,PAD,pad,137846254440,215493284851.44,215.49328485144,156.33,"215,49 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,e5af68d6acd905415aed18ad1f56075ef1ffd0ba3110aff2c92d7049c69de388,c9ee687887c183c043c8b078737917d34250ee438cc259896669a05b2f3d0e21
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2025,12,total_expenditure,Belanja Daerah,belanja daerah,1379588285556,1293362809393.6,1293.3628093936,93.75,"1.293,36 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,e5af68d6acd905415aed18ad1f56075ef1ffd0ba3110aff2c92d7049c69de388,c9ee687887c183c043c8b078737917d34250ee438cc259896669a05b2f3d0e21
idn.13.1308,Lima Puluh Kota,03,01,Kab. Lima Puluh Kota,2025,12,capital_expenditure,Belanja Modal,belanja modal,140954469735,75427515475,75.427515475,53.51,"75,43 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,e5af68d6acd905415aed18ad1f56075ef1ffd0ba3110aff2c92d7049c69de388,c9ee687887c183c043c8b078737917d34250ee438cc259896669a05b2f3d0e21
idn.13.1307,Agam,03,02,Kab. Agam,2018,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1419303048746.1,1390233385516,1390.233385516,97.95,"1.390,23 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,5a19922c65990129d22a1970fb1d0673830bbcefb10f396fd5290c9f9503fc1c,a28472d78f856c155bc0ec78546bb981923a377bab9a026d7a156d551ec37e25
idn.13.1307,Agam,03,02,Kab. Agam,2018,12,own_source_revenue_pad,PAD,pad,106081197746.08,99684205378.01,99.68420537801,93.97,"99,68 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,5a19922c65990129d22a1970fb1d0673830bbcefb10f396fd5290c9f9503fc1c,a28472d78f856c155bc0ec78546bb981923a377bab9a026d7a156d551ec37e25
idn.13.1307,Agam,03,02,Kab. Agam,2018,12,total_expenditure,Belanja Daerah,belanja daerah,1454226475663.6,1387560260048.9,1387.5602600489,95.42,"1.387,56 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,5a19922c65990129d22a1970fb1d0673830bbcefb10f396fd5290c9f9503fc1c,a28472d78f856c155bc0ec78546bb981923a377bab9a026d7a156d551ec37e25
