indicator_id,geography_id,outer_held_year,selected_penalty,hierarchical_slope_per_year
mean_years_schooling,idn.13.1307,2018,0.1,0.10500581825423283
mean_years_schooling,idn.13.1308,2018,0.1,0.06525899836853252
mean_years_schooling,idn.13.1309,2018,0.1,0.06246172681442434
mean_years_schooling,idn.13.1310,2018,0.1,0.16269401342414622
mean_years_schooling,idn.13.1311,2018,0.1,0.1315577754839999
mean_years_schooling,idn.13.1312,2018,0.1,0.20359120509132497
mean_years_schooling,idn.13.1371,2018,0.1,0.04222206602661673
mean_years_schooling,idn.13.1372,2018,0.1,0.07826950657230591
mean_years_schooling,idn.13.1373,2018,0.1,0.09316288824747279
mean_years_schooling,idn.13.1374,2018,0.1,0.10264362320722265
mean_years_schooling,idn.13.1375,2018,0.1,0.0745775014103806
mean_years_schooling,idn.13.1376,2018,0.1,0.056333784824625324
mean_years_schooling,idn.13.1377,2018,0.1,0.14141459352615568
mean_years_schooling,idn.13.1301,2019,0.1,0.1917636258276183
mean_years_schooling,idn.13.1302,2019,0.1,0.1289393611582071
mean_years_schooling,idn.13.1303,2019,0.1,0.04143378107785396
mean_years_schooling,idn.13.1304,2019,0.1,0.13268520709838874
mean_years_schooling,idn.13.1305,2019,0.1,0.15042440654286077
mean_years_schooling,idn.13.1306,2019,0.1,0.17305423641241074
mean_years_schooling,idn.13.1307,2019,0.1,0.10955341800062565
mean_years_schooling,idn.13.1308,2019,0.1,0.05824445515156064
mean_years_schooling,idn.13.1309,2019,0.1,0.07990806310751512
mean_years_schooling,idn.13.1310,2019,0.1,0.14392076089036326
mean_years_schooling,idn.13.1311,2019,0.1,0.1365262864099309
mean_years_schooling,idn.13.1312,2019,0.1,0.20132069144936332
mean_years_schooling,idn.13.1371,2019,0.1,0.04077706762118034
mean_years_schooling,idn.13.1372,2019,0.1,0.06916653242947371
mean_years_schooling,idn.13.1373,2019,0.1,0.08853660335849464
mean_years_schooling,idn.13.1374,2019,0.1,0.09267727098410869
mean_years_schooling,idn.13.1375,2019,0.1,0.06575003523191365
mean_years_schooling,idn.13.1376,2019,0.1,0.0766483041669864
mean_years_schooling,idn.13.1377,2019,0.1,0.12666169635983415
mean_years_schooling,idn.13.1301,2020,0.1,0.1822238011849
mean_years_schooling,idn.13.1302,2020,0.1,0.12136325532281589
mean_years_schooling,idn.13.1303,2020,0.1,0.03964216359864773
