regime_id,indicator_id,geography_id,geography_name,analysis_year,z_time,value,favorable_direction_semantics
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,labor_force_participation,idn.13.1301,Kepulauan Mentawai,2025,1.4,82.33,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,unemployment_rate,idn.13.1301,Kepulauan Mentawai,2025,1.4,1.53,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,poverty_rate,idn.13.1301,Kepulauan Mentawai,2025,1.4,13.22,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,real_grdp_growth,idn.13.1301,Kepulauan Mentawai,2025,1.4,2.93,higher_rate_is_generally_favorable_but_slope_is_not_structural_acceleration
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,rice_yield,idn.13.1301,Kepulauan Mentawai,2025,1.4,2.837,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,expected_years_schooling,idn.13.1302,Pesisir Selatan,2018,-1.4,13.3,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,mean_years_schooling,idn.13.1302,Pesisir Selatan,2018,-1.4,8.14,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,labor_force_participation,idn.13.1302,Pesisir Selatan,2018,-1.4,66.63,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,unemployment_rate,idn.13.1302,Pesisir Selatan,2018,-1.4,6.03,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,poverty_rate,idn.13.1302,Pesisir Selatan,2018,-1.4,7.59,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,real_grdp_growth,idn.13.1302,Pesisir Selatan,2018,-1.4,5.32,higher_rate_is_generally_favorable_but_slope_is_not_structural_acceleration
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,rice_yield,idn.13.1302,Pesisir Selatan,2018,-1.4,5.027000000000001,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,expected_years_schooling,idn.13.1302,Pesisir Selatan,2019,-1.0,13.31,higher_is_generally_favorable
