provenance_id,source_id,artifact_locator,retrieved_at,source_release,checksum_sha256,parser_revision,transform_revision,extraction_method,notes
chirpsprov_80f1b34a386a8dd06869ba96,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2024,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:49:10 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_864915f0694d4a2f8d62d710,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1996,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:30:47 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_869749660f299278b4209870,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2020,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:46:32 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_895a16cb21d7cc63ddc0f299,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2025,2026-08-16T12:55:23.994232+00:00,"Wed, 12 Aug 2026 17:36:08 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_8a1debf06ff2601da517ede7,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1990,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:27:06 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_8c3023760d15fbc35862fcc4,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1999,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:32:42 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_938566067d5a0dee5b9cc5f3,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1992,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:28:20 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_96a561b0500081f35c2a6aff,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2004,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:35:58 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_9bfc6526f1c0b90065fc7c93,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1988,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:25:51 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_9ff2f7a1dfcae20618823751,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1995,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:30:09 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
