regime_id,geography_id,geography_name,target_year,feature_year,poverty_rate,unemployment_rate,real_grdp_growth,lag1_poverty_rate,lag1_unemployment_rate,lag1_real_grdp_growth,lag1_mean_years_schooling,lag1_labor_force_participation,lag1_rice_yield
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1307,Agam,2023,2022,6.6,4.96,4.52,6.22,4.93,4.21,8.98,73.05,4.954000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1307,Agam,2024,2023,6.83,4.73,4.12,6.6,4.96,4.52,9.22,69.16,4.873
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1307,Agam,2025,2024,5.97,4.71,2.99,6.83,4.73,4.12,9.23,69.48,4.839
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1308,Lima Puluh Kota,2019,2018,6.97,2.3,5.06,6.99,2.73,5.23,7.97,73.1,4.307
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1308,Lima Puluh Kota,2020,2019,6.86,3.03,-1.16,6.97,2.3,5.06,7.98,73.28,4.149
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1308,Lima Puluh Kota,2021,2020,7.29,2.25,3.33,6.86,3.03,-1.16,7.99,72.71,4.36
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1308,Lima Puluh Kota,2022,2021,6.59,3.72,4.02,7.29,2.25,3.33,8.07,71.33,4.399
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1308,Lima Puluh Kota,2023,2022,6.8,3.95,4.55,6.59,3.72,4.02,8.08,74.54,4.646
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1308,Lima Puluh Kota,2024,2023,6.92,3.68,4.03,6.8,3.95,4.55,8.12,72.63,4.813000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1308,Lima Puluh Kota,2025,2024,6.1,3.78,3.4,6.92,3.68,4.03,8.13,74.17,4.358
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1309,Pasaman,2019,2018,7.21,5.28,4.8,7.31,6.04,4.97,7.66,67.2,4.263000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1309,Pasaman,2020,2019,7.16,5.04,-0.87,7.21,5.28,4.8,7.86,70.91,4.362
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1309,Pasaman,2021,2020,7.48,4.92,3.35,7.16,5.04,-0.87,8.09,72.97,4.5
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1309,Pasaman,2022,2021,6.85,5.38,4.08,7.48,4.92,3.35,8.1,69.35,4.593
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1309,Pasaman,2023,2022,6.8,5.09,4.41,6.85,5.38,4.08,8.11,74.97,4.884
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1309,Pasaman,2024,2023,6.74,5.25,3.95,6.8,5.09,4.41,8.13,73.05,4.659000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1309,Pasaman,2025,2024,6.02,5.29,3.49,6.74,5.25,3.95,8.14,71.86,4.404
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1310,Solok Selatan,2019,2018,7.33,4.91,4.86,7.07,5.84,5.0,8.15,74.89,4.2490000000000006
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1310,Solok Selatan,2020,2019,7.15,5.62,-1.24,7.33,4.91,4.86,8.16,72.56,4.233
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1310,Solok Selatan,2021,2020,7.52,4.84,3.32,7.15,5.62,-1.24,8.28,72.67,3.5540000000000003
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1310,Solok Selatan,2022,2021,6.51,3.71,4.01,7.52,4.84,3.32,8.32,72.11,4.007000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1310,Solok Selatan,2023,2022,6.45,2.57,4.57,6.51,3.71,4.01,8.41,77.99,4.13
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1310,Solok Selatan,2024,2023,6.56,2.3,4.09,6.45,2.57,4.57,8.69,76.52,4.109000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1310,Solok Selatan,2025,2024,6.0,2.13,3.65,6.56,2.3,4.09,8.85,76.69,3.8310000000000004
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1311,Dharmasraya,2019,2018,6.29,5.06,4.94,6.42,4.02,5.28,8.25,68.56,4.32
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1311,Dharmasraya,2020,2019,6.23,5.31,-1.39,6.29,5.06,4.94,8.46,70.49,4.6290000000000004
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1311,Dharmasraya,2021,2020,6.67,5.0,3.4,6.23,5.31,-1.39,8.47,72.72,4.4590000000000005
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1311,Dharmasraya,2022,2021,5.56,6.23,4.27,6.67,5.0,3.4,8.55,73.04,4.886
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1311,Dharmasraya,2023,2022,5.56,6.22,4.35,5.56,6.23,4.27,8.56,71.65,4.763000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1311,Dharmasraya,2024,2023,5.32,6.02,3.86,5.56,6.22,4.35,8.71,73.93,4.577000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1311,Dharmasraya,2025,2024,4.61,5.51,3.79,5.32,6.02,3.86,8.98,74.45,4.5360000000000005
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1312,Pasaman Barat,2019,2018,7.14,4.74,4.45,7.34,3.36,5.21,7.86,66.96,4.9510000000000005
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1312,Pasaman Barat,2020,2019,7.04,4.69,-1.34,7.14,4.74,4.45,8.06,65.76,4.57
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1312,Pasaman Barat,2021,2020,7.51,5.02,3.71,7.04,4.69,-1.34,8.19,67.47,4.6979999999999995
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1312,Pasaman Barat,2022,2021,6.93,6.33,4.13,7.51,5.02,3.71,8.27,66.93,4.74
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1312,Pasaman Barat,2023,2022,6.92,6.01,4.33,6.93,6.33,4.13,8.55,63.88,5.019
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1312,Pasaman Barat,2024,2023,7.0,6.34,4.08,6.92,6.01,4.33,8.81,66.42,4.882000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1312,Pasaman Barat,2025,2024,6.3,5.95,3.87,7.0,6.34,4.08,8.99,67.08,4.647
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1371,Padang,2019,2018,4.48,8.74,5.64,4.7,9.29,6.06,11.33,62.78,4.671
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1371,Padang,2020,2019,4.4,13.64,-1.86,4.48,8.74,5.64,11.34,61.98,5.013000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1371,Padang,2021,2020,4.94,13.37,3.65,4.4,13.64,-1.86,11.58,64.31,4.548
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1371,Padang,2022,2021,4.26,11.69,4.31,4.94,13.37,3.65,11.59,63.78,5.043
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1371,Padang,2023,2022,4.17,10.86,4.54,4.26,11.69,4.31,11.6,62.81,5.1080000000000005
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1371,Padang,2024,2023,4.06,9.88,4.65,4.17,10.86,4.54,11.62,66.99,5.269
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1371,Padang,2025,2024,3.63,9.7,3.63,4.06,9.88,4.65,11.63,67.18,4.861000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1372,Solok,2019,2018,3.24,7.06,5.49,3.3,6.03,5.65,11.01,64.76,5.2090000000000005
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1372,Solok,2020,2019,2.77,8.35,-1.42,3.24,7.06,5.49,11.02,62.51,5.757000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1372,Solok,2021,2020,3.12,5.15,3.55,2.77,8.35,-1.42,11.03,66.77,6.4670000000000005
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1372,Solok,2022,2021,3.02,3.9,4.6,3.12,5.15,3.55,11.04,66.51,5.872
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1372,Solok,2023,2022,3.05,3.72,4.81,3.02,3.9,4.6,11.35,69.46,6.466
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1372,Solok,2024,2023,3.07,3.62,4.55,3.05,3.72,4.81,11.36,70.12,6.299
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1372,Solok,2025,2024,2.91,3.87,3.61,3.07,3.62,4.55,11.37,71.16,5.678000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1373,Sawahlunto,2019,2018,2.17,6.84,5.31,2.39,5.92,5.5,9.94,72.88,4.766
