geography_id,geography_name,omitted_year,full_period_slope_mm_per_year,leave_one_year_out_slope_mm_per_year,same_direction_as_full
idn.13.1303,Solok,2000,11.629874724999997,12.100460073863651,True
idn.13.1303,Solok,2001,11.629874724999997,11.629874724999997,True
idn.13.1303,Solok,2002,11.629874724999997,11.420120058333339,True
idn.13.1303,Solok,2003,11.629874724999997,12.096993057870385,True
idn.13.1303,Solok,2004,11.629874724999997,11.629874724999997,True
idn.13.1303,Solok,2005,11.629874724999997,11.420120058333339,True
idn.13.1303,Solok,2006,11.629874724999997,11.826321174999999,True
idn.13.1303,Solok,2007,11.629874724999997,11.420120058333339,True
idn.13.1303,Solok,2008,11.629874724999997,11.420120058333339,True
idn.13.1303,Solok,2009,11.629874724999997,12.096993057870385,True
idn.13.1303,Solok,2010,11.629874724999997,11.052716125,True
idn.13.1303,Solok,2011,11.629874724999997,12.178796386363636,True
idn.13.1303,Solok,2012,11.629874724999997,11.194074994047618,True
idn.13.1303,Solok,2013,11.629874724999997,11.194074994047618,True
idn.13.1303,Solok,2014,11.629874724999997,12.452488473011368,True
idn.13.1303,Solok,2015,11.629874724999997,12.639508488115457,True
idn.13.1303,Solok,2016,11.629874724999997,11.052716125,True
idn.13.1303,Solok,2017,11.629874724999997,11.10886713888889,True
idn.13.1303,Solok,2018,11.629874724999997,12.178796386363636,True
idn.13.1303,Solok,2019,11.629874724999997,13.164721269230714,True
idn.13.1303,Solok,2020,11.629874724999997,11.629874724999997,True
idn.13.1303,Solok,2021,11.629874724999997,10.720307393939382,True
idn.13.1303,Solok,2022,11.629874724999997,9.639166231617665,True
idn.13.1303,Solok,2023,11.629874724999997,12.308388888888889,True
idn.13.1303,Solok,2024,11.629874724999997,10.18369703645833,True
idn.13.1303,Solok,2025,11.629874724999997,9.874485151785727,True
idn.13.1304,Sijunjung,1981,12.875544585185208,14.138977467490847,True
idn.13.1304,Sijunjung,1982,12.875544585185208,10.63728839642858,True
idn.13.1304,Sijunjung,1983,12.875544585185208,12.588139966386564,True
idn.13.1304,Sijunjung,1984,12.875544585185208,14.446893719298245,True
idn.13.1304,Sijunjung,1985,12.875544585185208,13.985743347222222,True
idn.13.1304,Sijunjung,1986,12.875544585185208,14.318992622222241,True
idn.13.1304,Sijunjung,1987,12.875544585185208,11.552732383333375,True
idn.13.1304,Sijunjung,1988,12.875544585185208,14.010346261904768,True
idn.13.1304,Sijunjung,1989,12.875544585185208,14.012791609126996,True
idn.13.1304,Sijunjung,1990,12.875544585185208,12.159893088636347,True
idn.13.1304,Sijunjung,1991,12.875544585185208,12.314438629084977,True
idn.13.1304,Sijunjung,1992,12.875544585185208,12.875544585185208,True
idn.13.1304,Sijunjung,1993,12.875544585185208,12.129460673160157,True
idn.13.1304,Sijunjung,1994,12.875544585185208,11.826381318181848,True
idn.13.1304,Sijunjung,1995,12.875544585185208,12.875544585185208,True
idn.13.1304,Sijunjung,1996,12.875544585185208,12.159893088636347,True
idn.13.1304,Sijunjung,1997,12.875544585185208,12.129460673160157,True
idn.13.1304,Sijunjung,1998,12.875544585185208,12.178332169191904,True
idn.13.1304,Sijunjung,1999,12.875544585185208,13.205137434593027,True
idn.13.1304,Sijunjung,2000,12.875544585185208,13.065745105384616,True
idn.13.1304,Sijunjung,2001,12.875544585185208,12.953410291724143,True
idn.13.1304,Sijunjung,2002,12.875544585185208,12.808949328042326,True
idn.13.1304,Sijunjung,2003,12.875544585185208,12.808949328042326,True
idn.13.1304,Sijunjung,2004,12.875544585185208,12.907367951724167,True
idn.13.1304,Sijunjung,2005,12.875544585185208,12.907367951724167,True
idn.13.1304,Sijunjung,2006,12.875544585185208,12.907367951724167,True
idn.13.1304,Sijunjung,2007,12.875544585185208,12.907367951724167,True
idn.13.1304,Sijunjung,2008,12.875544585185208,12.159893088636347,True
idn.13.1304,Sijunjung,2009,12.875544585185208,12.808949328042326,True
idn.13.1304,Sijunjung,2010,12.875544585185208,12.159893088636347,True
idn.13.1304,Sijunjung,2011,12.875544585185208,13.177929927884618,True
idn.13.1304,Sijunjung,2012,12.875544585185208,12.875544585185208,True
idn.13.1304,Sijunjung,2013,12.875544585185208,12.875544585185208,True
idn.13.1304,Sijunjung,2014,12.875544585185208,13.39698538392857,True
idn.13.1304,Sijunjung,2015,12.875544585185208,13.845933826923073,True
idn.13.1304,Sijunjung,2016,12.875544585185208,12.808949328042326,True
idn.13.1304,Sijunjung,2017,12.875544585185208,11.174862012121212,True
