provenance_id,source_id,artifact_locator,retrieved_at,source_release,checksum_sha256,parser_revision,transform_revision,extraction_method,notes
bpsprov_9f007283e860b95b8b264353,bps_webapi,bps-webapi://domain/1300/var/34/th/120,2026-08-15T16:08:58+00:00,2025-10-31 09:52:31,a3ca7693e5d3468d861a81728e24ec0cd3def481c498d6b436c00049307019cb,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-34-2020.json; source_var=34 Persentase Penduduk Miskin Menurut Kabupaten/Kota di Sumatera Barat; source_period=120:2020
bpsprov_9f88a954aaf0cb2c0d1de1d4,bps_webapi,bps-webapi://domain/1300/var/361/th/125,2026-08-15T16:08:23+00:00,2025-11-10 11:38:08,2e1b784fd05cdd69052c7d427a10c315d98015941abf219fa68cdb2c534ebea7,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-361-2025.json; source_var=361 [Metode Baru] Harapan Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=125:2025
bpsprov_a3a2aed09ac98b164a7cf8f1,bps_webapi,bps-webapi://domain/1300/var/34/th/119,2026-08-15T16:08:58+00:00,2025-10-31 09:52:31,acfe1fbc7f9dc5e5fe72c4766494df82992b6a7639e5bf078284d20dcd20189a,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-34-2019.json; source_var=34 Persentase Penduduk Miskin Menurut Kabupaten/Kota di Sumatera Barat; source_period=119:2019
bpsprov_a4d570f5955cf0ac7ac1e29f,bps_webapi,bps-webapi://domain/1300/var/139/th/125,2026-08-15T16:07:41+00:00,2025-11-10 08:58:50,127a3e2173fa27378381b28daa3d90cd710f3e437afe42ca3fa40a06d4e078bc,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-139-2025.json; source_var=139 Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota; source_period=125:2025
bpsprov_a520a7adb1d65c06bcc0f6e1,bps_webapi,bps-webapi://domain/1300/var/139/th/118,2026-08-15T16:07:41+00:00,2025-11-10 08:58:50,6367584f29ac8e7cc2bf3762b34b0f9730b67a50e4d7e328352f067409ecc312,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-139-2018.json; source_var=139 Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota; source_period=118:2018
bpsprov_a83779be89bfd96d3de692bb,bps_webapi,bps-webapi://domain/1300/var/752/th/125,2026-08-15T16:08:49+00:00,2025-11-24 11:00:21,7371984e082238e8205bec179bfa33001161f178711ea09e35e91f3d55e656c6,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-752-2025.json; source_var=752 [Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota (Hasil Long Form SP2020) di Provinsi Sumatera Barat; source_period=125:2025
bpsprov_add5eeaff99a0a19ee63ba76,bps_webapi,bps-webapi://domain/1300/var/363/th/124,2026-08-15T16:08:36+00:00,2025-11-10 11:23:03,193fcb14654a8cd5ed019ecfb6464c800d3247449e14c539bdfeb9d15e863806,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-363-2024.json; source_var=363 [Metode Baru] Rata-Rata Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=124:2024
bpsprov_ae12c79ade84e1b148c84799,bps_webapi,bps-webapi://domain/1300/var/138/th/125,2026-08-15T16:09:12+00:00,2026-02-27 09:56:39,c51df5f6cffcd43478df8a4534994c8f1f5f4eaef241bbfd12dc584f96459171,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-138-2025.json; source_var=138 Laju Pertumbuhan Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 Menurut Kabupaten/Kota; source_period=125:2025
bpsprov_ba6ebf736b043a24fb0a8367,bps_webapi,bps-webapi://domain/1300/var/141/th/122,2026-08-15T16:07:55+00:00,2025-11-10 09:03:05,2c4fc3c065aea898c1e2f0b59014f616d9c1e3a2d3a067a27cceccc56120668a,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-141-2022.json; source_var=141 Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota; source_period=122:2022
bpsprov_bccddeee99a0b0cc8ae3b0bf,bps_webapi,bps-webapi://domain/1300/var/752/th/120,2026-08-15T16:08:49+00:00,2025-11-24 11:00:21,47a18c9d75c0965f613c970ed69e302947ee010d81d959b55c5a709d82f8fc2b,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-752-2020.json; source_var=752 [Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota (Hasil Long Form SP2020) di Provinsi Sumatera Barat; source_period=120:2020
