panel_row_id,panel_series_id,indicator_id,canonical_promotion_status,source_id,domain,retrieved_at_utc,bps_last_update,bps_var_id,bps_var_label,bps_var_unit,bps_var_decimal,bps_var_definition,bps_var_note,bps_subject,bps_vertical_dimension,bps_vervar_id,bps_vervar_label,bps_turvar_id,bps_turvar_label,bps_th_id,bps_th_label,bps_turth_id,bps_turth_label,value,source_key,source_snapshot,source_snapshot_sha256,canonical_geography_id,geography_mapping_status
internet_person_5plus:1301:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1301,Kab. Kepulauan Mentawai,595,Pernah Mengakses Internet,119,2019,0,Tahun,16.98,13013205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1301,qualified_current_code
internet_person_5plus:1302:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1302,Kab. Pesisir Selatan,595,Pernah Mengakses Internet,119,2019,0,Tahun,30.8,13023205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1302,qualified_current_code
internet_person_5plus:1303:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1303,Kab. Solok,595,Pernah Mengakses Internet,119,2019,0,Tahun,32.62,13033205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1303,qualified_current_code
internet_person_5plus:1304:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1304,Kab. Sijunjung,595,Pernah Mengakses Internet,119,2019,0,Tahun,33.91,13043205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1304,qualified_current_code
internet_person_5plus:1305:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1305,Kab. Tanah Datar,595,Pernah Mengakses Internet,119,2019,0,Tahun,36.12,13053205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1305,qualified_current_code
internet_person_5plus:1306:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1306,Kab. Padang Pariaman,595,Pernah Mengakses Internet,119,2019,0,Tahun,34.35,13063205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1306,qualified_current_code
internet_person_5plus:1307:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1307,Kab. Agam,595,Pernah Mengakses Internet,119,2019,0,Tahun,40.99,13073205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1307,qualified_current_code
internet_person_5plus:1308:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1308,Kab. Lima Puluh Kota,595,Pernah Mengakses Internet,119,2019,0,Tahun,34.79,13083205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1308,qualified_current_code
internet_person_5plus:1309:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1309,Kab. Pasaman,595,Pernah Mengakses Internet,119,2019,0,Tahun,33.68,13093205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1309,qualified_current_code
internet_person_5plus:1310:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1310,Kab. Solok Selatan,595,Pernah Mengakses Internet,119,2019,0,Tahun,33.06,13103205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1310,qualified_current_code
internet_person_5plus:1311:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1311,Kab. Dharmasraya,595,Pernah Mengakses Internet,119,2019,0,Tahun,44.61,13113205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1311,qualified_current_code
internet_person_5plus:1312:320:595:119:0,internet_person_5plus,internet_access,pending_indicator_universe_review,bps_webapi,1300,2026-08-15T16:08:08+00:00,2026-02-28 02:00:54,320,Persentase Penduduk Usia 5 Tahun Ke Atas yang Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,2,,"Sumber : BPS, Survei Sosial Ekonomi Nasional",Komunikasi,Kabupaten/Kota,1312,Kab. Pasaman Barat,595,Pernah Mengakses Internet,119,2019,0,Tahun,26.86,13123205951190,var-320-2019.json,ab4d357e0382d229ebd4fe93d57f028095640b6d5a1352f5aa1e02e9fc18e8a9,idn.13.1312,qualified_current_code
