expansion_row_id,expansion_series_id,indicator_id,canonical_promotion_status,claim_type,source_id,domain,retrieved_at_utc,bps_last_update,bps_var_id,bps_var_label,bps_var_unit,bps_var_decimal,bps_var_definition,bps_var_note,bps_subject,bps_th_id,bps_th_label,bps_turth_id,bps_turth_label,source_geography_dimension,source_geography_id,source_geography_label,canonical_geography_id,geography_mapping_status,selected_vervar_id,selected_vervar_label,selected_turvar_id,selected_turvar_label,raw_value,denominator_raw_value,transform,source_key,denominator_source_key,source_snapshot,source_snapshot_sha256
bpsexp_1b5ab16039aca8448747e1e0,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,123,2023,0,Tahun,vervar,1373,Kota Sawahlunto,idn.13.1373,qualified_current_code,1373,Kota Sawahlunto,0,Tidak ada,0.308,,identity,13738301230,,var-83-2023.json,851bacb2cf1763efa338f2a2bd875dbaa07e6a4906c374000b1d1870c3e6e757
bpsexp_1e20eb4c67c67d5fab7cbf22,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,121,2021,0,Tahun,vervar,1309,Kab.Pasaman,idn.13.1309,qualified_current_code,1309,Kab.Pasaman,0,Tidak ada,0.248,,identity,13098301210,,var-83-2021.json,17a5f03dfc16e7d6f3d315289a996211817c9e4886cb2a23dad76ae4be96d450
bpsexp_1e589909873f0eca9ed2809b,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,119,2019,0,Tahun,vervar,1310,Kab.Solok Selatan,idn.13.1310,qualified_current_code,1310,Kab.Solok Selatan,0,Tidak ada,0.295,,identity,13108301190,,var-83-2019.json,c9b021a2d7f7632bd6ae8f52cf51e818a5cf9d4669318e0dd6cd04ccbd0665d0
bpsexp_1f91b27085418c88b9c398f9,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,119,2019,0,Tahun,vervar,1376,Kota Payakumbuh,idn.13.1376,qualified_current_code,1376,Kota Payakumbuh,0,Tidak ada,0.276,,identity,13768301190,,var-83-2019.json,c9b021a2d7f7632bd6ae8f52cf51e818a5cf9d4669318e0dd6cd04ccbd0665d0
bpsexp_213b2f2d574f6bdc912a4a43,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,123,2023,0,Tahun,vervar,1376,Kota Payakumbuh,idn.13.1376,qualified_current_code,1376,Kota Payakumbuh,0,Tidak ada,0.316,,identity,13768301230,,var-83-2023.json,851bacb2cf1763efa338f2a2bd875dbaa07e6a4906c374000b1d1870c3e6e757
bpsexp_28b7207b90d9c447c8720cf6,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,124,2024,0,Tahun,vervar,1306,Kab.Padang Pariaman,idn.13.1306,qualified_current_code,1306,Kab.Padang Pariaman,0,Tidak ada,0.253,,identity,13068301240,,var-83-2024.json,4d174be861844b9d396f90bc321ad8d6e5623cb7a81b0bac9c0a91381e106e95
bpsexp_2a9e151c6b3f99ba97189e39,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,125,2025,0,Tahun,vervar,1310,Kab.Solok Selatan,idn.13.1310,qualified_current_code,1310,Kab.Solok Selatan,0,Tidak ada,0.256,,identity,13108301250,,var-83-2025.json,3b8e6ef917e238726223a38d0e7c040bdbc6ddaaa3110bffd08502b0f2da58cd
bpsexp_2abfc0b9d210411cd2ff6d13,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,118,2018,0,Tahun,vervar,1301,Kab.Kep.Mentawai,idn.13.1301,qualified_current_code,1301,Kab.Kep.Mentawai,0,Tidak ada,0.306,,identity,13018301180,,var-83-2018.json,783e2be3cc4be7cbd9235895834a0ceab5401f3aebda402a0248e6085cb204dd
bpsexp_2cba55939dea5661d5bf455d,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,125,2025,0,Tahun,vervar,1374,Kota Padang Panjang,idn.13.1374,qualified_current_code,1374,Kota Padang Panjang,0,Tidak ada,0.275,,identity,13748301250,,var-83-2025.json,3b8e6ef917e238726223a38d0e7c040bdbc6ddaaa3110bffd08502b0f2da58cd
bpsexp_2dce5f037e154f377e13207f,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,124,2024,0,Tahun,vervar,1371,Kota Padang,idn.13.1371,qualified_current_code,1371,Kota Padang,0,Tidak ada,0.324,,identity,13718301240,,var-83-2024.json,4d174be861844b9d396f90bc321ad8d6e5623cb7a81b0bac9c0a91381e106e95
bpsexp_2e9e9dfbb78cca967820e82c,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,119,2019,0,Tahun,vervar,1302,Kab.Pesisir Selatan,idn.13.1302,qualified_current_code,1302,Kab.Pesisir Selatan,0,Tidak ada,0.246,,identity,13028301190,,var-83-2019.json,c9b021a2d7f7632bd6ae8f52cf51e818a5cf9d4669318e0dd6cd04ccbd0665d0
