candidate_id,indicator_id,geography_id,bps_code,canonical_name,year,value,unit,claim_type,methodology_regime,source_var_id,source_vervar_id,source_reference_period,raw_snapshot_path,raw_snapshot_sha256
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1311,1311,Dharmasraya,2020,69.93,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1311,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1312,1312,Pasaman Barat,2020,69.56,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1312,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1371,1371,Padang,2020,98.51,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1371,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1372,1372,Solok,2020,97.83,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1372,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1373,1373,Sawahlunto,2020,91.25,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1373,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1374,1374,Padang Panjang,2020,96.58,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1374,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1375,1375,Bukittinggi,2020,100,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1375,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1376,1376,Payakumbuh,2020,98.76,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1376,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1377,1377,Pariaman,2020,95.61,percent,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,352,1377,2020,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1301,1301,Kepulauan Mentawai,2021,55.46,percent,observed,susenas_sdgs_adequate_drinking_water,352,1301,2021,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1302,1302,Pesisir Selatan,2021,76.23,percent,observed,susenas_sdgs_adequate_drinking_water,352,1302,2021,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1303,1303,Solok,2021,78.09,percent,observed,susenas_sdgs_adequate_drinking_water,352,1303,2021,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1304,1304,Sijunjung,2021,64.12,percent,observed,susenas_sdgs_adequate_drinking_water,352,1304,2021,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1305,1305,Tanah Datar,2021,86.5,percent,observed,susenas_sdgs_adequate_drinking_water,352,1305,2021,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1306,1306,Padang Pariaman,2021,86.09,percent,observed,susenas_sdgs_adequate_drinking_water,352,1306,2021,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1307,1307,Agam,2021,87.46,percent,observed,susenas_sdgs_adequate_drinking_water,352,1307,2021,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
safe_drinking_water_access,adequate_drinking_water_access,idn.13.1308,1308,Lima Puluh Kota,2021,68.93,percent,observed,susenas_sdgs_adequate_drinking_water,352,1308,2021,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
