candidate_id,bps_var_id,year,normalized_source_row_count,normalizer_observed_value_count,selected_geography_count,missing_geography_codes,duplicate_geography_codes,range_failure_codes,geography_representation_failure_ids,selector_failure_count,unit_failure_count,title_failure_count,classification,claim_type,methodology_regime,error,raw_snapshot_path,raw_snapshot_sha256
real_grdp_per_capita_2010,169,2024,21,21,19,,,,,0,0,0,qualified_numeric_candidate_year,observed_source_published,bps_grdp_per_capita_seri2010_constant_price,,data/processed/bps/m28_stage2b_full_history/var-169/2024.json,8ef4c9839834c6e1a6670b24ed4afef3428aac36d5ad9c7854c47709cdf4f9c7
safe_drinking_water_access,352,2019,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,,data/processed/bps/m28_stage2b_full_history/var-352/2019.json,a2cfad08833335161985bcbbdd5ac25ba69b1ff31c471455efe26c6219c07edf
safe_drinking_water_access,352,2020,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,backcast_estimate,susenas_sdgs_adequate_drinking_water_backcast,,data/processed/bps/m28_stage2b_full_history/var-352/2020.json,498c4a6551ac55df9f8f7a5b83736dc6f19450cd2a76b73e67c8e0f7a2714032
safe_drinking_water_access,352,2021,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_sdgs_adequate_drinking_water,,data/processed/bps/m28_stage2b_full_history/var-352/2021.json,528887b3e18c52ac92404edf089757f0316bfd5ec316a8032131e0583f134621
safe_drinking_water_access,352,2022,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_sdgs_adequate_drinking_water,,data/processed/bps/m28_stage2b_full_history/var-352/2022.json,c15f2ec8dce10b39ffe4c71077e5d1b65dced253a1371c621183803afb1c9070
safe_drinking_water_access,352,2023,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_sdgs_adequate_drinking_water,,data/processed/bps/m28_stage2b_full_history/var-352/2023.json,a0158af4ca462ff7912af5bc72e8034e3edc8e9393b62fd02740d86422d0965d
safe_drinking_water_access,352,2024,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_sdgs_adequate_drinking_water,,data/processed/bps/m28_stage2b_full_history/var-352/2024.json,a47b19d1c2b1b55347bda3c583dc82ac46325ca3c7fc8c4ffc1ff664c4e19f38
safe_drinking_water_access,352,2025,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_sdgs_adequate_drinking_water,,data/processed/bps/m28_stage2b_full_history/var-352/2025.json,3062e47a97c37944712202224a9da1cba91ba03c20529f4182d2b5134383d5f4
sanitation_access_adequate,341,2018,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_adequate_sanitation,,data/processed/bps/m28_stage2b_full_history/var-341/2018.json,ac98508798803ef69933b8c1cf2a2e6a7e21f35ddf7477d1e5d915818eefd6ae
sanitation_access_adequate,341,2019,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_adequate_sanitation,,data/processed/bps/m28_stage2b_full_history/var-341/2019.json,07211ee6f1d98669f2002ce31975ea070672e62b98b0b8cb770cd5e1cbb5e70e
sanitation_access_adequate,341,2020,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_adequate_sanitation,,data/processed/bps/m28_stage2b_full_history/var-341/2020.json,fb8b810900fc299d286bc7c85ac8a5de0d05e71cba5150440466f6e8014d26d9
sanitation_access_adequate,341,2021,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_adequate_sanitation,,data/processed/bps/m28_stage2b_full_history/var-341/2021.json,cbf6c51e5b84f28e5a90c675de29e589ff67c987b5f149684fc72e58a9d9b661
sanitation_access_adequate,341,2022,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_adequate_sanitation,,data/processed/bps/m28_stage2b_full_history/var-341/2022.json,be06ae2fd260462ee62af7f4e36f16945a5c5cd68d1ec4434f3c2e87a29ca98d
sanitation_access_adequate,341,2023,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_adequate_sanitation,,data/processed/bps/m28_stage2b_full_history/var-341/2023.json,e2844266cd7ccc80f29f4a84271f1894103d4fd5dfeb8d86781bb03f61f4475e
sanitation_access_adequate,341,2024,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_adequate_sanitation,,data/processed/bps/m28_stage2b_full_history/var-341/2024.json,8723ff0e56e66fa8be3c0450a0363d18b60b6d35b9600b943f0235faa1965e64
sanitation_access_adequate,341,2025,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_adequate_sanitation,,data/processed/bps/m28_stage2b_full_history/var-341/2025.json,567ce60d150b455ef4a2e4a483b2ff223be570ac3ba2194913f324e6c7e37556
