regime_id,geography_id,geography_name,analysis_year,expected_years_schooling,mean_years_schooling,life_expectancy,labor_force_participation,unemployment_rate,poverty_rate,real_grdp_growth,agriculture_share_grdp,manufacturing_share_grdp,rice_yield,underemployment_rate,population_total,annual_rainfall,flood_events,landslide_events
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2022,13.4,8.08,73.03,74.54,3.72,6.59,4.02,31.44389792824095,6.4733243904776945,4.646,8.46,,3506.769514,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2023,13.41,8.12,73.25,72.63,3.95,6.8,4.55,31.08019767257888,6.511041072477335,4.813000000000001,7.11,,2875.883297,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2024,13.42,8.13,73.42,74.17,3.68,6.92,4.03,,,4.358,9.3,,3123.551995,4,2
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2025,13.53,8.49,73.64,74.18,3.78,6.1,3.4,,,4.604,,,3211.699359,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2018,12.78,7.66,,67.2,6.04,7.31,4.97,49.47197950153445,4.2458681706905415,4.263000000000001,14.83,,3477.240348,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2019,12.79,7.86,,70.91,5.28,7.21,4.8,47.92193476963394,3.9231429285572474,4.362,9.79,,2693.696458,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2020,12.8,8.09,71.15,72.97,5.04,7.16,-0.87,47.95768822327713,3.8480370101732517,4.5,16.52,299851.0,3188.559896,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2021,12.81,8.1,71.34,69.35,4.92,7.48,3.35,47.02809224513089,3.975624262351621,4.593,15.45,,3303.601986,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2022,13.05,8.11,71.71,74.97,5.38,6.85,4.08,46.37728538605358,3.929485094603956,4.884,15.06,,3965.730773,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2023,13.25,8.13,72.04,73.05,5.09,6.8,4.41,46.04978305402148,3.8389963320592795,4.659000000000001,13.25,,3431.683071,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2024,13.52,8.14,72.36,71.86,5.25,6.74,3.95,,,4.404,12.17,,3779.401425,2,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2025,13.6,8.41,72.76,72.69,5.29,6.02,3.49,,,4.6850000000000005,,,3516.587957,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2018,12.69,8.15,,74.89,5.84,7.07,5.0,34.31721311984101,5.20913776822641,4.2490000000000006,11.66,,2656.214017,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2019,12.7,8.16,,72.56,4.91,7.33,4.86,29.231040859582098,4.2129248573672475,4.233,13.43,,2272.264684,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2020,12.71,8.28,71.32,72.67,5.62,7.15,-1.24,28.804074385616794,4.29793195440314,3.5540000000000003,15.06,182027.0,2839.225367,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2021,12.72,8.32,71.52,72.11,4.84,7.52,3.32,28.417217232257585,4.403012145115619,4.007000000000001,14.69,,3128.814974,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2022,12.73,8.41,71.89,77.99,3.71,6.51,4.01,27.685216294893305,4.2649283326326595,4.13,8.67,,3535.487002,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2023,12.8,8.69,72.22,76.52,2.57,6.45,4.57,27.195099031488343,4.172929204690323,4.109000000000001,10.4,,2800.576874,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2024,13.07,8.85,72.5,76.69,2.3,6.56,4.09,,,3.8310000000000004,14.15,,3081.928771,4,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2025,13.08,9.2,72.77,77.96,2.13,6.0,3.65,,,4.274,,,3481.642137,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2018,12.41,8.25,,68.56,4.02,6.42,5.28,30.229934039286547,5.7307161259019255,4.32,13.91,,3046.330199,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2019,12.42,8.46,,70.49,5.06,6.29,4.94,28.02328822538769,4.920633278360256,4.6290000000000004,10.27,,2641.196193,,
