geography_id,geography_name,year,event_time,real_grdp_constant_2000_million_rupiah,log_real_grdp,area_mean_pga_pct_g,z_area_mean_pga_pct_g,area_median_pga_pct_g,area_p90_pga_pct_g,area_max_pga_pct_g,area_mean_mmi,z_area_median_pga_pct_g,z_area_p90_pga_pct_g,z_area_max_pga_pct_g,z_area_mean_mmi,source_block,source_table,source_pdf_page,revision_status,source_internal_consistency_status,source_anomaly_resolution_status,source_anomaly_resolution_source
idn.13.1303,Solok,2007,-2,1811861.0,14.409865051825859,21.476024785510013,-0.5476722443392816,21.1,30.704000000000004,41.73,6.772259294566254,-0.5397790126707421,-0.2613286525686681,0.36220326975616113,-0.2701729209670642,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
idn.13.1303,Solok,2008,-1,1926826.54,14.471384927776619,21.476024785510013,-0.5476722443392816,21.1,30.704000000000004,41.73,6.772259294566254,-0.5397790126707421,-0.2613286525686681,0.36220326975616113,-0.2701729209670642,preperiod_table22,22,97,revised,preperiod_level_source_qualified,not_applicable,
idn.13.1303,Solok,2009,0,2047056.55,14.531913490055686,21.476024785510013,-0.5476722443392816,21.1,30.704000000000004,41.73,6.772259294566254,-0.5397790126707421,-0.2613286525686681,0.36220326975616113,-0.2701729209670642,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied,not_applicable,
idn.13.1303,Solok,2010,1,2170836.33,14.590623056796963,21.476024785510013,-0.5476722443392816,21.1,30.704000000000004,41.73,6.772259294566254,-0.5397790126707421,-0.2613286525686681,0.36220326975616113,-0.2701729209670642,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1303,Solok,2011,2,2303828.56,14.650082888307155,21.476024785510013,-0.5476722443392816,21.1,30.704000000000004,41.73,6.772259294566254,-0.5397790126707421,-0.2613286525686681,0.36220326975616113,-0.2701729209670642,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1303,Solok,2012,3,2448011.39,14.710786575381308,21.476024785510013,-0.5476722443392816,21.1,30.704000000000004,41.73,6.772259294566254,-0.5397790126707421,-0.2613286525686681,0.36220326975616113,-0.2701729209670642,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1303,Solok,2013,4,2602065.71,14.771816191386757,21.476024785510013,-0.5476722443392816,21.1,30.704000000000004,41.73,6.772259294566254,-0.5397790126707421,-0.2613286525686681,0.36220326975616113,-0.2701729209670642,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1304,Sijunjung,2005,-4,1023241.24,13.838485833360272,18.601216216216216,-0.8007454951823916,18.19,25.046,27.82,6.607675675675676,-0.7889077877495464,-0.7799049587014446,-0.8955381855566182,-0.5575784295887093,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
idn.13.1304,Sijunjung,2006,-3,1084134.39,13.896292429312098,18.601216216216216,-0.8007454951823916,18.19,25.046,27.82,6.607675675675676,-0.7889077877495464,-0.7799049587014446,-0.8955381855566182,-0.5575784295887093,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
idn.13.1304,Sijunjung,2007,-2,1145007.18,13.950921465693174,18.601216216216216,-0.8007454951823916,18.19,25.046,27.82,6.607675675675676,-0.7889077877495464,-0.7799049587014446,-0.8955381855566182,-0.5575784295887093,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
idn.13.1304,Sijunjung,2008,-1,1205702.94,14.002573307519945,18.601216216216216,-0.8007454951823916,18.19,25.046,27.82,6.607675675675676,-0.7889077877495464,-0.7799049587014446,-0.8955381855566182,-0.5575784295887093,preperiod_table22,22,97,revised,preperiod_level_source_qualified,not_applicable,
idn.13.1304,Sijunjung,2009,0,1271638.27,14.055816603508031,18.601216216216216,-0.8007454951823916,18.19,25.046,27.82,6.607675675675676,-0.7889077877495464,-0.7799049587014446,-0.8955381855566182,-0.5575784295887093,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied,not_applicable,
idn.13.1304,Sijunjung,2010,1,1343278.0,14.110623453339382,18.601216216216216,-0.8007454951823916,18.19,25.046,27.82,6.607675675675676,-0.7889077877495464,-0.7799049587014446,-0.8955381855566182,-0.5575784295887093,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1304,Sijunjung,2011,2,1420360.12,14.166421003058774,18.601216216216216,-0.8007454951823916,18.19,25.046,27.82,6.607675675675676,-0.7889077877495464,-0.7799049587014446,-0.8955381855566182,-0.5575784295887093,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1304,Sijunjung,2012,3,1506769.93,14.225478798402328,18.601216216216216,-0.8007454951823916,18.19,25.046,27.82,6.607675675675676,-0.7889077877495464,-0.7799049587014446,-0.8955381855566182,-0.5575784295887093,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1304,Sijunjung,2013,4,1599143.38,14.284978656338946,18.601216216216216,-0.8007454951823916,18.19,25.046,27.82,6.607675675675676,-0.7889077877495464,-0.7799049587014446,-0.8955381855566182,-0.5575784295887093,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed,not_applicable,
idn.13.1305,Tanah Datar,2005,-4,1961820.26,14.489383304309511,32.83947630922693,0.4526676212857793,32.97,39.16,44.9,7.233915211970075,0.4764266781146206,0.5136945437301567,0.6488345000467084,0.535997551185756,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
idn.13.1305,Tanah Datar,2006,-3,2076125.42,14.546013935701238,32.83947630922693,0.4526676212857793,32.97,39.16,44.9,7.233915211970075,0.4764266781146206,0.5136945437301567,0.6488345000467084,0.535997551185756,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
idn.13.1305,Tanah Datar,2007,-2,2201714.59,14.604746973876859,32.83947630922693,0.4526676212857793,32.97,39.16,44.9,7.233915211970075,0.4764266781146206,0.5136945437301567,0.6488345000467084,0.535997551185756,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified,not_applicable,
