geography_id,geography_name,year,real_grdp_constant_2000_million_rupiah,source_value,source_table,source_pdf_page,revision_status
idn.13.1374,Kota Padang Panjang,2011,446700.28,"446.700,28",13.1.2,413,unspecified
idn.13.1374,Kota Padang Panjang,2012,474561.42,"474.561,42",13.1.2,413,revised
idn.13.1374,Kota Padang Panjang,2013,503717.7,"503.717,70",13.1.2,413,preliminary
idn.13.1375,Kota Bukittinggi,2009,969590.89,"969.590,89",13.1.2,413,unspecified
idn.13.1375,Kota Bukittinggi,2010,1029155.1,"1.029.155,10",13.1.2,413,unspecified
idn.13.1375,Kota Bukittinggi,2011,1039252.85,"1.039.252,85",13.1.2,413,unspecified
idn.13.1375,Kota Bukittinggi,2012,1163140.55,"1.163.140,55",13.1.2,413,revised
idn.13.1375,Kota Bukittinggi,2013,1235499.4,"1.235.499,40",13.1.2,413,preliminary
idn.13.1376,Kota Payakumbuh,2009,819396.5,"819.396,50",13.1.2,413,unspecified
idn.13.1376,Kota Payakumbuh,2010,871661.87,"871.661,87",13.1.2,413,unspecified
idn.13.1376,Kota Payakumbuh,2011,930856.29,"930.856,29",13.1.2,413,unspecified
idn.13.1376,Kota Payakumbuh,2012,994371.12,"994.371,12",13.1.2,413,revised
idn.13.1376,Kota Payakumbuh,2013,1061214.88,"1.061.214,88",13.1.2,413,preliminary
idn.13.1377,Kota Pariaman,2009,685597.67,"685.597,67",13.1.2,413,unspecified
idn.13.1377,Kota Pariaman,2010,721656.53,"721.656,53",13.1.2,413,unspecified
idn.13.1377,Kota Pariaman,2011,764821.01,"764.821,01",13.1.2,413,unspecified
idn.13.1377,Kota Pariaman,2012,810844.44,"810.844,44",13.1.2,413,revised
idn.13.1377,Kota Pariaman,2013,859889.69,"859.889,69",13.1.2,413,preliminary
