geography_id,geography_name,year,event_time,real_grdp_constant_2000_million_rupiah,log_real_grdp,price_basis,unit,source_block,source_table,source_pdf_page,revision_status,source_internal_consistency_status
idn.13.1305,Tanah Datar,2011,2,2766811.59,14.833206164654543,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1305,Tanah Datar,2012,3,2924846.73,14.888752637275166,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1305,Tanah Datar,2013,4,3098429.79,14.946406021776273,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1306,Padang Pariaman,2005,-4,1971582.46,14.494347057445932,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1306,Padang Pariaman,2006,-3,2346365.52,14.66837810168572,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1306,Padang Pariaman,2007,-2,2489684.42,14.727666521453006,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1306,Padang Pariaman,2008,-1,2645119.06,14.788226635493986,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1306,Padang Pariaman,2009,0,2749336.74,14.826870255098319,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1306,Padang Pariaman,2010,1,2890752.9,14.877027545190566,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1306,Padang Pariaman,2011,2,3052077.18,14.931332959402258,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1306,Padang Pariaman,2012,3,3238016.01,14.990471357617624,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1306,Padang Pariaman,2013,4,3454099.54,15.055072356034366,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1307,Agam,2005,-4,2325161.69,14.659300138671538,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1307,Agam,2006,-3,2468761.81,14.719227291417596,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1307,Agam,2007,-2,2626066.58,14.780997687674267,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1307,Agam,2008,-1,2792967.48,14.842615201465328,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1307,Agam,2009,0,2929871.68,14.890469184812368,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1307,Agam,2010,1,3096174.72,14.945677946207937,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1307,Agam,2011,2,3280044.92,15.0033676753885,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1307,Agam,2012,3,3502846.41,15.069086455942914,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1307,Agam,2013,4,3725541.01,15.130722636833733,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1308,Lima Puluh Kota,2005,-4,2125656.73,14.569591362006486,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
