excluded_geography_id,excluded_geography_name,named_influence_gate_geography,event_time,calendar_year,coefficient_log_points_per_1sd_pga,full_sample_coefficient,change_from_full_sample,absolute_change_from_full_sample
idn.13.1305,Tanah Datar,False,4,2013,-0.0042496674502749965,-0.004329683022264108,8.001557198911158e-05,8.001557198911158e-05
idn.13.1306,Padang Pariaman,True,-4,2005,-0.0010916253992277812,-0.013294672141391524,0.012203046742163742,0.012203046742163742
idn.13.1306,Padang Pariaman,True,-3,2006,-0.0013653104831206284,-0.0017209094519789242,0.00035559896885829583,0.00035559896885829583
idn.13.1306,Padang Pariaman,True,-2,2007,-0.0007803647976553445,-0.0009598610224034408,0.00017949622474809624,0.00017949622474809624
idn.13.1306,Padang Pariaman,True,0,2009,-0.0027343575353746346,-0.0037002512335674352,0.0009658936981928007,0.0009658936981928007
idn.13.1306,Padang Pariaman,True,1,2010,-0.0035144027888571946,-0.004997115740192616,0.0014827129513354216,0.0014827129513354216
idn.13.1306,Padang Pariaman,True,2,2011,-0.0030897133247021133,-0.00510864520700105,0.002018931882298937,0.002018931882298937
idn.13.1306,Padang Pariaman,True,3,2012,-0.0025043740415715554,-0.004768365760008386,0.0022639917184368308,0.0022639917184368308
idn.13.1306,Padang Pariaman,True,4,2013,-0.0024751366252604434,-0.004329683022264108,0.0018545463970036646,0.0018545463970036646
idn.13.1307,Agam,False,-4,2005,-0.013510238178313034,-0.013294672141391524,-0.00021556603692150962,0.00021556603692150962
idn.13.1307,Agam,False,-3,2006,-0.001266519719701555,-0.0017209094519789242,0.0004543897322773691,0.0004543897322773691
idn.13.1307,Agam,False,-2,2007,-0.0007682621063294289,-0.0009598610224034408,0.00019159891607401186,0.00019159891607401186
idn.13.1307,Agam,False,0,2009,-0.0036097124881531713,-0.0037002512335674352,9.053874541426398e-05,9.053874541426398e-05
idn.13.1307,Agam,False,1,2010,-0.004899937447023892,-0.004997115740192616,9.717829316872439e-05,9.717829316872439e-05
idn.13.1307,Agam,False,2,2011,-0.004959218854621239,-0.00510864520700105,0.00014942635237981134,0.00014942635237981134
idn.13.1307,Agam,False,3,2012,-0.004907523153484306,-0.004768365760008386,-0.00013915739347591938,0.00013915739347591938
idn.13.1307,Agam,False,4,2013,-0.0045045369057128415,-0.004329683022264108,-0.00017485388344873343,0.00017485388344873343
idn.13.1308,Lima Puluh Kota,False,-4,2005,-0.013477934163171558,-0.013294672141391524,-0.00018326202178003438,0.00018326202178003438
idn.13.1308,Lima Puluh Kota,False,-3,2006,-0.0018576235198845038,-0.0017209094519789242,-0.00013671406790557962,0.00013671406790557962
idn.13.1308,Lima Puluh Kota,False,-2,2007,-0.0010028149402366827,-0.0009598610224034408,-4.29539178332419e-05,4.29539178332419e-05
idn.13.1308,Lima Puluh Kota,False,0,2009,-0.003719951225987087,-0.0037002512335674352,-1.9699992419651858e-05,1.9699992419651858e-05
idn.13.1308,Lima Puluh Kota,False,1,2010,-0.004991936037298526,-0.004997115740192616,5.179702894090275e-06,5.179702894090275e-06
idn.13.1308,Lima Puluh Kota,False,2,2011,-0.005060766614695537,-0.00510864520700105,4.7878592305513126e-05,4.7878592305513126e-05
idn.13.1308,Lima Puluh Kota,False,3,2012,-0.004688524381309511,-0.004768365760008386,7.984137869887498e-05,7.984137869887498e-05
idn.13.1308,Lima Puluh Kota,False,4,2013,-0.0042443148534916375,-0.004329683022264108,8.536816877247055e-05,8.536816877247055e-05
idn.13.1309,Pasaman,False,-4,2005,-0.013594549897046289,-0.013294672141391524,-0.00029987775565476493,0.00029987775565476493
idn.13.1309,Pasaman,False,-3,2006,-0.001868994787573983,-0.0017209094519789242,-0.00014808533559505874,0.00014808533559505874
idn.13.1309,Pasaman,False,-2,2007,-0.001049348692278319,-0.0009598610224034408,-8.948766987487819e-05,8.948766987487819e-05
idn.13.1309,Pasaman,False,0,2009,-0.0035519149665489925,-0.0037002512335674352,0.00014833626701844273,0.00014833626701844273
idn.13.1309,Pasaman,False,1,2010,-0.004766461368448971,-0.004997115740192616,0.0002306543717436457,0.0002306543717436457
idn.13.1309,Pasaman,False,2,2011,-0.004844200294541529,-0.00510864520700105,0.0002644449124595211,0.0002644449124595211
idn.13.1309,Pasaman,False,3,2012,-0.004521186066835714,-0.004768365760008386,0.0002471796931726722,0.0002471796931726722
idn.13.1309,Pasaman,False,4,2013,-0.004113272527765721,-0.004329683022264108,0.0002164104944983869,0.0002164104944983869
idn.13.1310,Solok Selatan,False,-4,2005,-0.015141287887225668,-0.013294672141391524,-0.0018466157458341438,0.0018466157458341438
idn.13.1310,Solok Selatan,False,-3,2006,-0.002354632210398575,-0.0017209094519789242,-0.0006337227584196508,0.0006337227584196508
idn.13.1310,Solok Selatan,False,-2,2007,-0.001264469866582951,-0.0009598610224034408,-0.0003046088441795103,0.0003046088441795103
idn.13.1310,Solok Selatan,False,0,2009,-0.003628832066360945,-0.0037002512335674352,7.141916720649006e-05,7.141916720649006e-05
idn.13.1310,Solok Selatan,False,1,2010,-0.004701824083092088,-0.004997115740192616,0.0002952916571005281,0.0002952916571005281
idn.13.1310,Solok Selatan,False,2,2011,-0.004572450701282891,-0.00510864520700105,0.0005361945057181594,0.0005361945057181594
idn.13.1310,Solok Selatan,False,3,2012,-0.004009349281162811,-0.004768365760008386,0.0007590164788455755,0.0007590164788455755
idn.13.1310,Solok Selatan,False,4,2013,-0.0033537450054890172,-0.004329683022264108,0.0009759380167750908,0.0009759380167750908
idn.13.1311,Dharmasraya,False,-4,2005,-0.016404926680050707,-0.013294672141391524,-0.003110254538659183,0.003110254538659183
idn.13.1311,Dharmasraya,False,-3,2006,-0.003114771147446666,-0.0017209094519789242,-0.001393861695467742,0.001393861695467742
idn.13.1311,Dharmasraya,False,-2,2007,-0.0016580868765987975,-0.0009598610224034408,-0.0006982258541953567,0.0006982258541953567
idn.13.1311,Dharmasraya,False,0,2009,-0.003164571199200413,-0.0037002512335674352,0.0005356800343670224,0.0005356800343670224
idn.13.1311,Dharmasraya,False,1,2010,-0.004035388062522132,-0.004997115740192616,0.0009617276776704839,0.0009617276776704839
idn.13.1311,Dharmasraya,False,2,2011,-0.0037182509111598878,-0.00510864520700105,0.0013903942958411624,0.0013903942958411624
idn.13.1311,Dharmasraya,False,3,2012,-0.0029777020157668588,-0.004768365760008386,0.0017906637442415274,0.0017906637442415274
idn.13.1311,Dharmasraya,False,4,2013,-0.0022020850112696166,-0.004329683022264108,0.0021275980109944914,0.0021275980109944914
