geography_id,geography_name,year,real_grdp_constant_2000_million_rupiah,source_value,source_table,source_pdf_page,revision_status
idn.13.1371,Kota Padang,2009,11345637.06,"11.345.637,06",22,97,preliminary
idn.13.1372,Kota Solok,2005,394216.63,"394.216,63",22,97,unspecified
idn.13.1372,Kota Solok,2006,418554.23,"418.554,23",22,97,unspecified
idn.13.1372,Kota Solok,2007,445151.83,"445.151,83",22,97,unspecified
idn.13.1372,Kota Solok,2008,473694.17,"473.694,17",22,97,revised
idn.13.1372,Kota Solok,2009,497623.06,"497.623,06",22,97,preliminary
idn.13.1373,Kota Sawahlunto,2005,444671.74,"444.671,74",22,97,unspecified
idn.13.1373,Kota Sawahlunto,2006,449255.32,"449.255,32",22,97,unspecified
idn.13.1373,Kota Sawahlunto,2007,458646.42,"458.646,42",22,97,unspecified
idn.13.1373,Kota Sawahlunto,2008,474379.28,"474.379,28",22,97,revised
idn.13.1373,Kota Sawahlunto,2009,494392.38,"494.392,38",22,97,preliminary
idn.13.1374,Kota Padang Panjang,2005,311166.4,"311.166,40",22,97,unspecified
idn.13.1374,Kota Padang Panjang,2006,330172.93,"330.172,93",22,97,unspecified
idn.13.1374,Kota Padang Panjang,2007,351227.59,"351.227,59",22,97,unspecified
idn.13.1374,Kota Padang Panjang,2008,373245.04,"373.245,04",22,97,revised
idn.13.1374,Kota Padang Panjang,2009,396823.88,"396.823,88",22,97,preliminary
idn.13.1375,Kota Bukittinggi,2005,762433.07,"762.433,07",22,97,unspecified
idn.13.1375,Kota Bukittinggi,2006,809613.62,"809.613,62",22,97,unspecified
idn.13.1375,Kota Bukittinggi,2007,862157.54,"862.157,54",22,97,unspecified
idn.13.1375,Kota Bukittinggi,2008,918914.69,"918.914,69",22,97,revised
idn.13.1375,Kota Bukittinggi,2009,969590.89,"969.590,89",22,97,preliminary
idn.13.1376,Kota Payakumbuh,2005,644369.03,"644.369,03",22,97,unspecified
idn.13.1376,Kota Payakumbuh,2006,684222.31,"684.222,31",22,97,unspecified
idn.13.1376,Kota Payakumbuh,2007,727773.48,"727.773,48",22,97,unspecified
idn.13.1376,Kota Payakumbuh,2008,774485.72,"774.485,72",22,97,revised
idn.13.1376,Kota Payakumbuh,2009,818071.97,"818.071,97",22,97,preliminary
idn.13.1377,Kota Pariaman,2005,561912.44,"561.912,44",22,97,unspecified
idn.13.1377,Kota Pariaman,2006,589877.48,"589.877,48",22,97,unspecified
idn.13.1377,Kota Pariaman,2007,621504.32,"621.504,32",22,97,unspecified
idn.13.1377,Kota Pariaman,2008,656273.02,"656.273,02",22,97,revised
idn.13.1377,Kota Pariaman,2009,685632.24,"685.632,24",22,97,preliminary
