regime_id,geography_id,geography_name,analysis_year,expected_years_schooling,mean_years_schooling,life_expectancy,labor_force_participation,unemployment_rate,poverty_rate,real_grdp_growth,agriculture_share_grdp,manufacturing_share_grdp,rice_yield,underemployment_rate,population_total,annual_rainfall,flood_events,landslide_events,real_grdp_per_capita,morbidity_rate,jkn_membership_coverage,internet_access_age5plus,adequate_sanitation_access,adequate_drinking_water_access,dependency_ratio
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2020,13.32,8.26,73.02,65.0,7.0,7.61,-1.11,37.761041294842805,6.425926490652303,4.805,14.28,504418.0,3086.659964,,,18839.76,16.57,21.67,36.03,71.51,87.08,47.8
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2021,13.33,8.27,73.12,66.59,5.97,7.92,3.35,37.22167255893918,6.800697980460294,4.801,10.02,,3436.715819,,,19193.36,15.16,53.35,51.11,71.4,76.23,47.93
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2022,13.35,8.43,73.2,66.95,4.61,7.11,4.01,36.95079504338636,6.802802913250822,5.617000000000001,11.58,,3619.807130,,,19666.16,25.41,56.22,57.6,73.68,85.83,48.09
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2023,13.36,8.58,73.27,65.0,4.75,7.34,4.19,36.49048577789883,6.633532334021815,5.188000000000001,14.04,,2705.082515,,,20192.61,13.83,58.15,63.06,76.82,86.8,48.3
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2024,13.37,8.81,73.44,66.0,5.06,7.49,3.84,,,4.878,12.85,,3320.943657,15,0,20669.81,15.49,63.04,70.45,78.93,90,48.83
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2025,13.38,9.06,73.68,70.4,5.1,6.52,3.62,,,5.188000000000001,,,3437.205954,,,,,63.74,74.56,84.5,90.28,
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2018,13.02,7.84,,68.35,6.12,8.88,5.19,36.28914365616826,5.246710072077912,5.061,7.49,,2745.575618,,,25411.2,14.57,,31.12,43.7,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2019,13.03,7.85,,70.83,4.72,7.98,5.04,34.81582435830543,4.720325506524937,4.938000000000001,8.51,,2253.071476,,,26409.94,12.65,28.48,32.62,44.29,81.9,
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2020,13.04,7.86,71.51,74.64,4.65,7.81,-1.14,35.01349625416376,4.755081092964802,4.644,12.76,391497.0,2824.854401,,,25071.22,13.79,25.33,37.67,50.36,79.08,46.9
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2021,13.05,7.87,71.72,71.21,4.67,8.01,3.28,34.06769431438945,4.782224823361263,5.263000000000001,8.19,,3100.123998,,,25595.64,16.66,46.94,47.89,47.63,78.09,46.86
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2022,13.3,7.89,72.12,74.44,5.89,7.12,4.28,33.312430069691494,4.751500984070849,5.45,8.16,,3648.037132,,,26350.96,11.39,43.14,53.34,57.28,81.02,46.88
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2023,13.55,7.9,72.31,76.74,4.99,7.13,4.36,33.15755770124622,4.7183115162574385,5.264,8.31,,2818.463029,,,27155.12,13.79,49.44,59.9,59.75,82.36,46.96
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2024,13.56,7.91,72.52,76.8,4.91,7.31,3.91,,,4.728000000000001,17.3,,3281.290135,2,2,27868.3,16.5,50.14,69.89,62.56,81.84,47.26
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2025,13.66,8.25,72.82,77.14,4.7,6.52,3.01,,,5.3420000000000005,,,3470.644762,,,,,54.84,79.58,57.11,85.59,
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2018,12.35,7.77,,68.43,3.22,7.11,5.07,29.470655113809837,2.985677045645661,3.9890000000000003,16.4,,2859.438849,,,27573.64,12.83,,28.46,51.54,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2019,12.36,8.1,,70.17,3.64,7.04,4.81,28.028524898061903,2.5214288084521463,3.4170000000000003,13.27,,2470.751141,,,28178.17,11.59,28.94,33.91,68.69,68.68,
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2020,12.37,8.11,71.78,70.7,5.3,6.78,-1.1,27.817538823226187,2.5997204310949105,3.91,13.42,235045.0,2803.058049,,,28523.6,13.2,27.26,40.46,64.95,61.23,47.18
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2021,12.38,8.12,71.93,70.06,3.57,6.8,3.14,27.452658766417443,2.729972179893606,3.6670000000000003,13.09,,3087.590832,,,29031.31,7.2,56.68,49.75,72.63,64.12,47.08
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2022,12.64,8.3,72.27,68.17,4.87,6.0,3.93,26.796560541813847,2.7672547333598745,3.8450000000000006,12.67,,3743.084717,,,29774.42,18.35,61.71,63.53,74.14,70.27,47.02
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2023,12.72,8.57,72.59,68.51,4.71,5.88,4.26,26.758171203446373,2.7390568543240774,3.6490000000000005,11.69,,2940.515772,,,30645.55,10.71,60.58,65.02,72.18,69.6,47.01
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2024,12.76,8.62,72.89,70.18,4.73,5.78,3.89,,,3.8560000000000003,11.08,,3337.779082,5,0,31440.75,11.99,59.22,67.38,74.53,72.02,47.23
sumbar_current_kabkota_2018_2025_v1,idn.13.1304,Sijunjung,2025,12.99,8.66,73.3,75.33,4.59,5.15,3.26,,,4.082,,,3505.806505,,,,,70.31,74.32,75.49,76.13,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2018,13.88,8.44,,69.03,4.01,5.32,5.04,30.65923325469288,11.034725123179685,5.267,10.03,,2606.593248,,,26552.48,14.05,,35.54,42.77,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2019,14.32,8.45,,69.25,3.2,4.66,4.99,29.767500850037592,10.501265636145197,5.612,8.95,,2083.254792,,,27764.72,16.19,43.71,36.12,61.06,84.62,
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2020,14.33,8.61,73.5,69.42,4.79,4.4,-1.12,29.81973506063924,10.48459839991232,5.335000000000001,11.47,371704.0,2639.181013,,,25806.67,15.9,39.69,43.45,62.86,85.63,45.94
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2021,14.34,8.62,73.69,66.88,4.63,4.54,3.27,28.57201215365915,10.722800932683391,5.639,7.86,,2757.306452,,,26403.64,10.97,61.83,54.87,53.73,86.5,46.18
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2022,14.59,8.9,73.84,70.9,5.91,4.26,4.16,27.80409126688683,10.679119194641363,5.476,5.54,,3501.612179,,,27171.12,13.68,64.91,63.3,57.49,87.8,46.47
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2023,14.78,9.02,74.19,69.43,5.35,4.16,4.44,27.612597582051805,10.46354766767561,5.461,8.47,,2729.635347,,,28039.06,12.72,70.03,68.23,62.99,87.17,46.84
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2024,15.05,9.29,74.26,71.23,5.3,4.28,3.85,,,4.787,8.57,,3043.862868,3,0,28778.07,21.5,72.45,73.64,65.02,92.74,47.86
sumbar_current_kabkota_2018_2025_v1,idn.13.1305,Tanah Datar,2025,15.06,9.46,74.35,72.84,5.26,3.59,2.66,,,5.152000000000001,,,3043.351854,,,,,85.44,79.1,69.6,90.04,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2018,13.57,7.5,,65.56,7.03,8.04,5.44,18.65020368150688,9.630323036678197,4.6049999999999995,8.55,,4146.259922,,,31509.24,16.55,,30.42,40.02,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2019,13.62,7.86,,63.23,6.08,7.1,2.4,19.20721902869654,9.350659137097344,4.804,9.59,,3142.963671,,,31965.36,17.52,27.09,34.35,50.58,85.55,
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2020,13.67,7.87,73.48,67.18,8.13,6.95,-10.46,22.67950715253003,11.193872224360769,4.6979999999999995,12.39,430626.0,4146.372331,,,27775.66,15.89,26.52,39.87,59.72,88.73,50.58
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2021,13.68,7.88,73.58,64.64,8.41,7.22,2.15,22.65027521518682,11.948140352490096,4.537,11.73,,4501.844729,,,27962.86,11.75,51.78,50.1,55.86,86.09,50.2
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2022,13.93,8.16,73.67,70.44,6.6,6.25,6.83,21.36830241238494,10.915552553863257,4.958,8.45,,5260.041094,,,29364.83,13.98,50.86,56.81,59.76,88.22,49.91
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2023,14.19,8.41,73.77,65.18,6.69,6.34,5.46,20.55167862278303,10.480929445950178,4.914000000000001,9.38,,3949.497823,,,30441.27,10.85,57.19,62.8,61.77,87.19,49.72
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2024,14.2,8.42,73.88,67.14,6.59,6.27,4.57,,,4.452000000000001,13.08,,4885.867178,3,3,31294.01,14.99,61.65,71.13,63.73,91.77,49.64
sumbar_current_kabkota_2018_2025_v1,idn.13.1306,Padang Pariaman,2025,14.21,8.78,74.04,67.36,6.48,5.86,1.74,,,4.762,,,4263.056625,,,,,64.79,74.52,65.76,93.5,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2018,13.85,8.69,,68.56,4.93,6.76,5.23,31.51608678371842,10.732570390916477,5.167000000000001,7.53,,3019.356902,,,28575.77,11.86,,36.16,67.55,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2019,13.86,8.85,,69.59,4.78,6.75,4.78,30.099095875319104,9.824293258652125,4.932,6.87,,2324.389282,,,29592.73,11.17,49.35,40.99,67.19,83.45,
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2020,13.87,8.96,73.79,70.29,4.61,6.75,-1.37,30.003156885541127,9.7262590597159,5.236000000000001,17.42,529138.0,2943.171289,,,27317.46,15.05,51.08,48.74,71.58,88.04,48.57
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2021,13.88,8.97,73.91,66.49,5.06,6.85,3.7,29.52978260941534,9.895625534062138,5.140000000000001,10.92,,3054.359145,,,27815.28,7.71,64.33,55.59,77.25,87.46,48.48
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2022,13.88,8.98,74.07,73.05,4.93,6.22,4.21,28.70470748014808,9.988907587775227,4.954000000000001,8.73,,3760.573590,,,28598.2,10.38,65.2,67.19,74.84,92.8,48.48
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2023,13.89,9.22,74.22,69.16,4.96,6.6,4.52,28.20135748841308,10.234742782737223,4.873,11.25,,2907.477107,,,29491.2,8.63,64.35,66.16,77.04,90.02,48.58
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2024,14.16,9.23,74.39,69.48,4.73,6.83,4.12,,,4.839,12.03,,3516.147981,4,2,30299.71,15.35,72.53,77.45,77,89.68,49.06
sumbar_current_kabkota_2018_2025_v1,idn.13.1307,Agam,2025,14.26,9.57,74.63,69.56,4.71,5.97,2.99,,,4.782,,,2996.195772,,,,,74.79,77.59,79.29,92.49,
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2018,13.27,7.97,,73.1,2.73,6.99,5.23,34.733158181799304,6.903595257400045,4.307,6.9,,2748.913529,,,28070.8,16.82,,26.7,42.68,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2019,13.28,7.98,,73.28,2.3,6.97,5.06,33.48502278582677,6.228895587799296,4.149,11.39,,2177.441026,,,29085.73,17.47,32.18,34.79,47.02,76.23,
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2020,13.29,7.99,72.74,72.71,3.03,6.86,-1.16,33.21615698373717,6.356544335336592,4.36,12.84,383525.0,2625.799332,,,28895.03,14.63,40.86,36.22,53.86,74.75,47.9
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2021,13.3,8.07,72.79,71.33,2.25,7.29,3.33,32.18929673495152,6.492432745160368,4.399,10.23,,2740.063992,,,29533.39,25.68,63.15,52.22,55.69,68.93,47.72
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2022,13.4,8.08,73.03,74.54,3.72,6.59,4.02,31.44389792824095,6.4733243904776945,4.646,8.46,,3506.769514,,,30350.94,18.96,60.71,56.15,64.19,71.33,47.55
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2023,13.41,8.12,73.25,72.63,3.95,6.8,4.55,31.08019767257888,6.511041072477335,4.813000000000001,7.11,,2875.883297,,,31357.17,12.96,52.54,63.6,60.64,69.39,47.43
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2024,13.42,8.13,73.42,74.17,3.68,6.92,4.03,,,4.358,9.3,,3123.551995,4,2,32242.45,15.35,64.33,63.65,64.31,68.64,47.48
sumbar_current_kabkota_2018_2025_v1,idn.13.1308,Lima Puluh Kota,2025,13.53,8.49,73.64,74.18,3.78,6.1,3.4,,,4.604,,,3211.699359,,,,,69.07,77.16,65.79,70.83,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2018,12.78,7.66,,67.2,6.04,7.31,4.97,49.47197950153445,4.2458681706905415,4.263000000000001,14.83,,3477.240348,,,21162.53,10.74,,22.39,28.49,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2019,12.79,7.86,,70.91,5.28,7.21,4.8,47.92193476963394,3.9231429285572474,4.362,9.79,,2693.696458,,,21819.69,11.22,52.94,33.68,40.24,70.1,
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2020,12.8,8.09,71.15,72.97,5.04,7.16,-0.87,47.95768822327713,3.8480370101732517,4.5,16.52,299851.0,3188.559896,,,20492.8,11.39,51.76,35.43,40.9,70.98,48.41
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2021,12.81,8.1,71.34,69.35,4.92,7.48,3.35,47.02809224513089,3.975624262351621,4.593,15.45,,3303.601986,,,20857.33,10.16,71.85,40.84,45.26,82.57,48.09
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2022,13.05,8.11,71.71,74.97,5.38,6.85,4.08,46.37728538605358,3.929485094603956,4.884,15.06,,3965.730773,,,21362.72,17.42,78.72,54.68,42.81,75.77,47.8
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2023,13.25,8.13,72.04,73.05,5.09,6.8,4.41,46.04978305402148,3.8389963320592795,4.659000000000001,13.25,,3431.683071,,,21956.88,9.9,76.44,62.25,46.74,81.44,47.58
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2024,13.52,8.14,72.36,71.86,5.25,6.74,3.95,,,4.404,12.17,,3779.401425,2,0,22473.2,14.08,98.1,71.18,49.35,86.06,47.5
sumbar_current_kabkota_2018_2025_v1,idn.13.1309,Pasaman,2025,13.6,8.41,72.76,72.69,5.29,6.02,3.49,,,4.6850000000000005,,,3516.587957,,,,,97.65,76.72,53.74,85.07,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2018,12.69,8.15,,74.89,5.84,7.07,5.0,34.31721311984101,5.20913776822641,4.2490000000000006,11.66,,2656.214017,,,22523.38,19.43,,30.02,49.38,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2019,12.7,8.16,,72.56,4.91,7.33,4.86,29.231040859582098,4.2129248573672475,4.233,13.43,,2272.264684,,,23009.96,19.81,33.16,33.06,51.14,69.02,
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2020,12.71,8.28,71.32,72.67,5.62,7.15,-1.24,28.804074385616794,4.29793195440314,3.5540000000000003,15.06,182027.0,2839.225367,,,21691.77,19.94,38.52,41.07,59.17,77.04,45.42
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2021,12.72,8.32,71.52,72.11,4.84,7.52,3.32,28.417217232257585,4.403012145115619,4.007000000000001,14.69,,3128.814974,,,21992.13,14.65,63.16,55.52,58.57,81.01,45.43
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2022,12.73,8.41,71.89,77.99,3.71,6.51,4.01,27.685216294893305,4.2649283326326595,4.13,8.67,,3535.487002,,,22448.13,24.27,65.65,58.59,55.33,77.46,45.51
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2023,12.8,8.69,72.22,76.52,2.57,6.45,4.57,27.195099031488343,4.172929204690323,4.109000000000001,10.4,,2800.576874,,,23045.42,12.02,68.13,69.53,54.69,80.11,45.68
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2024,13.07,8.85,72.5,76.69,2.3,6.56,4.09,,,3.8310000000000004,14.15,,3081.928771,4,0,23558.8,20.54,71.08,75.04,56.71,79.09,47.48
sumbar_current_kabkota_2018_2025_v1,idn.13.1310,Solok Selatan,2025,13.08,9.2,72.77,77.96,2.13,6.0,3.65,,,4.274,,,3481.642137,,,,,81.67,85,60.32,82.07,
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2018,12.41,8.25,,68.56,4.02,6.42,5.28,30.229934039286547,5.7307161259019255,4.32,13.91,,3046.330199,,,29823.39,12.43,,38.66,65.4,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2019,12.42,8.46,,70.49,5.06,6.29,4.94,28.02328822538769,4.920633278360256,4.6290000000000004,10.27,,2641.196193,,,30078.87,12.49,16.13,44.61,71.27,58.85,
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2020,12.43,8.47,73.04,72.72,5.31,6.23,-1.39,27.19805868558662,4.99902576073556,4.4590000000000005,9.79,228591.0,3039.796046,,,32737.14,18.49,30.92,48.5,84.16,69.93,46.1
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2021,12.44,8.55,73.47,73.04,5.0,6.67,3.4,27.474449014605923,5.361450028657028,4.886,9.97,,3360.740287,,,33285.62,9.82,51.21,61.43,82.71,70.27,45.92
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2022,12.51,8.56,73.84,71.65,6.23,5.56,4.27,26.60588860736484,5.247956181009069,4.763000000000001,6.6,,3815.293034,,,34090.5,23.16,54.59,76.01,81.09,69.61,45.71
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2023,12.68,8.71,74.04,73.93,6.22,5.56,4.35,25.97737794246864,5.14501582204037,4.577000000000001,7.79,,3199.790741,,,34958.39,16.51,59.82,77.73,81.57,71.5,45.52
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2024,12.89,8.98,74.25,74.45,6.02,5.32,3.86,,,4.5360000000000005,7.08,,3471.425003,8,0,35697.69,17.91,65.34,82.62,85.99,70,45.38
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2025,13.02,9.31,74.34,74.56,5.51,4.61,3.79,,,4.939,,,3815.589208,,,,,68.16,93.34,83.12,69.35,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2018,13.22,7.86,,66.96,3.36,7.34,5.21,42.8037971213691,14.809655887099975,4.9510000000000005,12.7,,4066.942671,,,25081.09,14.71,,22.65,46.22,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2019,13.4,8.06,,65.76,4.74,7.14,4.45,41.00576853320122,13.074361077251517,4.57,14.62,,3237.458841,,,25426.35,10.56,32.88,26.86,61.77,63.84,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2020,13.61,8.19,71.71,67.47,4.69,7.04,-1.34,39.871685144416475,13.289586234625816,4.6979999999999995,15.6,431672.0,3748.958598,,,26173.81,13.14,35.24,34.24,63.65,69.56,48.06
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2021,13.68,8.27,71.83,66.93,5.02,7.51,3.71,39.74934280569035,13.765815103043426,4.74,10.28,,3718.636822,,,26725.88,22.07,55.06,51.13,70.28,81.47,47.74
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2022,13.69,8.55,72.14,63.88,6.33,6.93,4.13,39.106390181914016,13.624855735543756,5.019,9.91,,4331.760164,,,27414.77,11.42,58.22,51.53,68.98,77.76,47.42
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2023,13.7,8.81,72.44,66.42,6.01,6.92,4.33,38.883708999239175,13.225743308661706,4.882000000000001,10.88,,3782.060938,,,28185.52,11.26,63.44,62.02,71.64,78.79,47.16
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2024,13.72,8.99,72.75,67.08,6.34,7.0,4.08,,,4.647,15.86,,4467.756881,4,0,28922.9,13.24,69.88,68.41,73.49,83.07,46.87
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2025,13.73,9.28,73.17,68.06,5.95,6.3,3.87,,,4.422,,,3548.113333,,,,,71.79,74.68,74.02,81.55,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2018,16.5,11.33,,62.78,9.29,4.7,6.06,5.22053330537251,13.147314503351216,4.671,7.6,,3788.531370,,,44809.92,11.26,,56.18,74.51,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2019,16.51,11.34,,61.98,8.74,4.48,5.64,5.296117293849018,11.7481840230695,5.013000000000001,5.68,,2839.940826,,,46389.56,11.29,61.48,60.52,79.98,96.76,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2020,16.52,11.58,74.43,64.31,13.64,4.4,-1.86,5.411381886730643,11.881442575076457,4.548,9.9,909040.0,3833.450096,,,48072.5,12.2,68.71,63.61,82.5,98.51,44.04
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2021,16.53,11.59,74.47,63.78,13.37,4.94,3.65,5.286728558295557,11.77357141733071,5.043,7.67,,4272.073887,,,49185.54,6.6,73.62,76.54,80.13,95.52,44.49
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2022,16.54,11.6,74.71,62.81,11.69,4.26,4.31,5.121599053453984,11.255317413492621,5.1080000000000005,6.29,,4965.282037,,,50652.05,3.81,75.65,72.45,76.1,97.93,44.92
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2023,16.56,11.62,74.94,66.99,10.86,4.17,4.54,5.016715630288771,10.877566155978831,5.269,7.99,,3578.425027,,,52300.56,9.69,78.94,79.56,78.56,98.64,45.35
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2024,16.57,11.63,75.2,67.18,9.88,4.06,4.65,,,4.861000000000001,7.23,,4477.248585,1,1,54090.13,14.47,79.55,84.41,78.22,97.65,46.28
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2025,16.58,11.64,75.59,67.27,9.7,3.63,3.63,,,5.041,,,4389.212124,,,,,81.64,88.3,80.28,95.25,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2018,14.3,11.01,,64.76,6.03,3.3,5.65,5.611105562494099,4.751485758881667,5.2090000000000005,4.73,,2975.660545,,,39078.01,12.25,,52.87,85.86,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2019,14.31,11.02,,62.51,7.06,3.24,5.49,5.448508373620033,4.099503875245347,5.757000000000001,7.97,,2349.436808,,,40130.88,10.65,57.82,57.63,85.63,96.18,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2020,14.32,11.03,73.86,66.77,8.35,2.77,-1.42,5.511956035706319,4.137571071338069,6.4670000000000005,6.96,73438.0,3004.073527,,,38795.41,10.26,63.77,62.27,89.19,97.83,47.01
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2021,14.33,11.04,73.98,66.51,5.15,3.12,3.55,5.20145739524519,4.305570223533588,5.872,6.29,,3274.039720,,,39373.94,5.8,81.9,75.08,91.4,96.55,47.17
