year,quarter,geography_id,canonical_name,status_penanaman_modal,observed_source_row_count,investasi_rp_juta_complete,investasi_rp_juta_missing_rows,investasi_rp_juta_sum,investasi_us_ribu_complete,investasi_us_ribu_missing_rows,investasi_us_ribu_sum,raw_evidence_path,raw_evidence_sha256
2025,II,idn.13.1376,Payakumbuh,PMDN,17,true,0,4832.427273,true,0,117.146145195,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,II,idn.13.1377,Pariaman,PMDN,12,true,0,6436.69064,true,0,2.3809775,data/processed/bkpm/m27_stage1_pilot/2025-qii.json,574debc2ac1f31434e22214f8fc4ff36c109faea18476ec094a88b497d635c70
2025,IV,idn.13.1301,Kepulauan Mentawai,PMA,53,true,0,29087.746812,true,0,1817.9841758,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1301,Kepulauan Mentawai,PMDN,8,true,0,15016.3877,true,0,938.52423135,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1302,Pesisir Selatan,PMA,13,true,0,12090.410208,true,0,755.6506377,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1302,Pesisir Selatan,PMDN,18,true,0,18355.593201,true,0,1147.22457526,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1303,Solok,PMA,6,true,0,7315.393598,true,0,457.2120998,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1303,Solok,PMDN,18,true,0,4260.646342,true,0,266.290396366,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1304,Sijunjung,PMA,1,true,0,0,true,0,0,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1304,Sijunjung,PMDN,13,true,0,24735.101445,true,0,1545.943840266,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1305,Tanah Datar,PMA,3,true,0,624.593236,true,0,39.03707725,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1305,Tanah Datar,PMDN,13,true,0,1734.199608,true,0,108.3874755,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1306,Padang Pariaman,PMA,11,true,0,11958.519211,true,0,747.407450688,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1306,Padang Pariaman,PMDN,27,true,0,9380773.328025,true,0,586298.333001324,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1307,Agam,PMA,10,true,0,11071.118724,true,0,691.94492027,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1307,Agam,PMDN,13,true,0,16217.815789,true,0,1013.613486795,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1308,Lima Puluh Kota,PMA,3,true,0,946.08375,true,0,59.13023438,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1308,Lima Puluh Kota,PMDN,19,true,0,31250.545886,true,0,1953.159118101,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1309,Pasaman,PMA,2,true,0,1676.15202,true,0,104.7595013,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1309,Pasaman,PMDN,19,true,0,37518.78599,true,0,2344.9241245,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1310,Solok Selatan,PMA,4,true,0,3079.878814,true,0,192.4924259,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1310,Solok Selatan,PMDN,15,true,0,17414.831042,true,0,1088.42694018,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1311,Dharmasraya,PMA,9,true,0,11714.483623,true,0,732.15522641,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
