dimension_tuple_sha256,multiplicity,page_count,page_paths,distinct_full_row_hash_count,full_row_hashes,exact_full_row_duplicate,crosses_page_boundary,differing_non_dimension_fields
c8bb0c7cbd475aa0bb2f9212e052847a2cdfc948446c7623cfdd48845aecddf2,5,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,2,2b3601848d35ce50bab253e9cfeaa6d0addb2ca509144d63731f41c4a62f9b86|f379d20595fee65c313dd6af6da2b8040d957f2c67f16209149550882feeada4,false,true,investasi_rp_juta|investasi_us_ribu|tki
c9ae17078f815c5e6639bfd89d4a5f6a1e78b24461d0b9af4db54f8dd3823535,9,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,2,6e9baef35b4f9ccdf6c9041e67ebe1ee033497cc8368fe40c03fba008ba196c9|a44f788580cedd350ada6a56bb7afc5411f4adbbf4919131a21d20fc231d58d1,false,true,investasi_rp_juta|investasi_us_ribu
c9b4308d7c0ab492711a8bc2f5aaa24ec782b0502ebca4340bd2bee0ab056a7a,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,4598d59698bc40e012dd82f68e7b9d89fab4f59bf3c026302df357c9f228361a|b6786e2df564058484f4327c3e4f94c52b79366432e61e7f98ee5d1538e8f47f,false,false,investasi_rp_juta|investasi_us_ribu|tki
ca103f456364363bb58d1aa7e579c5445e23ab09f5ec5348e4f2f380d6fafd8b,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,0e8bc3574b02c559073cb0eba8b88067a5cd8f390519ac5ea93cc39176d46ee8,true,false,
cb2192083a70b9558e098c1dff84325729796c524fabfbc8ae064b326c7fa49e,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,55102fb49d759274e08057a0ded34b3579244a283195e06ea161945cd9358305|9fae30b25843893a53a39b71774ea4cee1470883d0f7a69aa55156c18fa58242,false,false,investasi_rp_juta|investasi_us_ribu|tki
cbc7d27265d001f30c8bcb44569d46380554ac69f842e55603ac1d63862abd88,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,5c43599713f6f19862d6028c30b745131b59da02c60c850fe93fb97a350e2784|9fdee2cee3a39aa5a3f76b0910ec671ee2b69dca208e24d0c054f8467cd463c8,false,false,investasi_rp_juta|investasi_us_ribu
cc4861c725237202a7653efb690d53dbd540bf19dfba0a80b50a8e4a4167963e,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,a55e844a695ed8be867215927f24b427486698f92c10c26b9dd7610da249c2f4|d0d1e612586ed3f377c1476d5c4fc7bbf0b4fb8d1c558ec37ce5ca54cfb0fec5,false,false,investasi_rp_juta|investasi_us_ribu|tki
cc60d65d51ba8895489bd4646492d204922158c101bcc16aae66dbc67c8f1844,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,29e823e8a6ea6425261082e880c82690120612e3a28a6a2e3f28c38a32d91d90,true,false,
cff692fc2c452d4bbfde0ed202ead157037d4b39cb4b33b78798a991279a63f3,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,37507b0c002f57545a8bb5ea0c5b6edbe276aef91cc710f128d62d14e2fdb9c9|eaff2c6446d80b1d934155f4960f13c744dfb7029071fbc9c33f939b91f497e3,false,false,investasi_rp_juta|investasi_us_ribu
d0664ca85ba5f5a9c68bb2179a3f6c09ac1c8184478ee384be096cb8c0b179b9,3,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,3,28b73baa6d568ca15fe53ee0436813cfdf363e86bb1f8231f4e50918aea48666|339dfef5418b58b7a92e393f78e297c40327f81d002da85e901419fa858b83bd|c087a66ff3cb719d8e7ca08e35776f4e344800bde8f1dde5fe6716449c03b0e9,false,false,investasi_rp_juta|investasi_us_ribu|tki
d0c8cc2b7e88b57da47087f7834c483c34d349fb670570c90e87d6323288a376,5,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,4,63ff403d48882b8638c5710e2ae8c68dd67c28815b30ad7d224c489a8bd594d3|da7d110999c34e31f23ac5941660b559db8eb4e74820894c2f5afddd915e1f22|e6ee75baa0ec9ccd4493a5b99d1a55a73a72d69d64f577c36caf8d6655e71b14|eb497bc736e9cbeda9d422e2075cbe969355060f56e411603ae893bc9fbdf2cf,false,false,investasi_rp_juta|investasi_us_ribu|tki
d3005de585be34a0df47b63b82fd7c6856c7c62290f0fa7c8fe1cd9fb0a474a9,4,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,4,16184ca90112eac9bd1946133bfaf9cc7be5bda8c1918d26c8a912304b6f5e1d|839b2875298dbae4fbe2d1695bd9abbbb830ea5cfb7551a96cda62453ad7e8be|a7ef67efc6a30fad4a467ee10cc8650dd5dd7094c436c077c48a1ab0e1658e7b|db5958ee2c1cc7d3b0b6adeea86bfe2fb0884e66db16a5d40cb5e8df80b0ca69,false,true,investasi_rp_juta|investasi_us_ribu|tki
d4649f366a3c9a3bee1bc0cff20d8c1abd92c22ea9ef8768f8850c05fbed29a7,3,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,9af8b77f009cd4d11763d86a151d049b1e175f83258a4222ee160424afb434b1,true,false,
d4cd0e501fe707a829e1db0564cd03026c7f6352384aedaa445eafdffbba01c3,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,039f885b1e100033d8b7016365c3a0ec13fe1b1b2597b8f4d346281241dd6503,true,false,
