geography_id,geography_name,bps_province_code,year,feature_id,feature_group,value,unit,bps_var_id,bps_turvar_id,bps_turth_id,source_key
idn.82,Maluku Utara,82,2024,m7_hls_method_new,human_capital_expected_schooling,13.75,years,417,0,0,820041701240
idn.82,Maluku Utara,82,2024,m7_household_internet_access,digital_connectivity,87.28,percent_households,398,191,0,82003981911240
idn.82,Maluku Utara,82,2024,m7_household_pln_lighting,electricity_access,94.27,percent_households,856,191,0,82008561911240
idn.82,Maluku Utara,82,2024,m7_rls_age15_plus,human_capital_schooling,9.7,years,1429,0,0,8200142901240
idn.91,Papua Barat,91,2024,m7_hls_method_new,human_capital_expected_schooling,13.17,years,417,0,0,910041701240
idn.91,Papua Barat,91,2024,m7_household_internet_access,digital_connectivity,85.51,percent_households,398,191,0,91003981911240
idn.91,Papua Barat,91,2024,m7_household_pln_lighting,electricity_access,82.31,percent_households,856,191,0,91008561911240
idn.91,Papua Barat,91,2024,m7_rls_age15_plus,human_capital_schooling,9.87,years,1429,0,0,9100142901240
idn.92,Papua Barat Daya,92,2024,m7_hls_method_new,human_capital_expected_schooling,13.88,years,417,0,0,920041701240
idn.92,Papua Barat Daya,92,2024,m7_household_internet_access,digital_connectivity,88.49,percent_households,398,191,0,92003981911240
idn.92,Papua Barat Daya,92,2024,m7_household_pln_lighting,electricity_access,87.86,percent_households,856,191,0,92008561911240
idn.92,Papua Barat Daya,92,2024,m7_rls_age15_plus,human_capital_schooling,10.48,years,1429,0,0,9200142901240
idn.94,Papua,94,2024,m7_hls_method_new,human_capital_expected_schooling,13.72,years,417,0,0,940041701240
idn.94,Papua,94,2024,m7_household_internet_access,digital_connectivity,81.99,percent_households,398,191,0,94003981911240
idn.94,Papua,94,2024,m7_household_pln_lighting,electricity_access,90.24,percent_households,856,191,0,94008561911240
idn.94,Papua,94,2024,m7_rls_age15_plus,human_capital_schooling,10.7,years,1429,0,0,9400142901240
idn.95,Papua Selatan,95,2024,m7_hls_method_new,human_capital_expected_schooling,12.67,years,417,0,0,950041701240
idn.95,Papua Selatan,95,2024,m7_household_internet_access,digital_connectivity,65.71,percent_households,398,191,0,95003981911240
idn.95,Papua Selatan,95,2024,m7_household_pln_lighting,electricity_access,67.05,percent_households,856,191,0,95008561911240
idn.95,Papua Selatan,95,2024,m7_rls_age15_plus,human_capital_schooling,8.99,years,1429,0,0,9500142901240
idn.96,Papua Tengah,96,2024,m7_hls_method_new,human_capital_expected_schooling,9.63,years,417,0,0,960041701240
idn.96,Papua Tengah,96,2024,m7_household_internet_access,digital_connectivity,36.08,percent_households,398,191,0,96003981911240
idn.96,Papua Tengah,96,2024,m7_household_pln_lighting,electricity_access,35.27,percent_households,856,191,0,96008561911240
idn.96,Papua Tengah,96,2024,m7_rls_age15_plus,human_capital_schooling,6.17,years,1429,0,0,9600142901240
idn.97,Papua Pegunungan,97,2024,m7_hls_method_new,human_capital_expected_schooling,9.97,years,417,0,0,970041701240
idn.97,Papua Pegunungan,97,2024,m7_household_internet_access,digital_connectivity,12.15,percent_households,398,191,0,97003981911240
idn.97,Papua Pegunungan,97,2024,m7_household_pln_lighting,electricity_access,14.53,percent_households,856,191,0,97008561911240
idn.97,Papua Pegunungan,97,2024,m7_rls_age15_plus,human_capital_schooling,5.1,years,1429,0,0,9700142901240
