target_id,outer_holdout_geography_id,model_variant,selected_penalty,parameter_type,parameter_id,coefficient
poverty_rate,idn.13.1310,primary,100,standardized_continuous_feature,mean_years_schooling,-0.351958186507
poverty_rate,idn.13.1310,primary,100,standardized_continuous_feature,rice_yield,-0.530262758226
poverty_rate,idn.13.1310,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1310,primary,100,target_year_effect,2020,-0.1564752441
poverty_rate,idn.13.1310,primary,100,target_year_effect,2021,0.12148254896
poverty_rate,idn.13.1310,primary,100,target_year_effect,2022,-0.250848940775
poverty_rate,idn.13.1310,primary,100,target_year_effect,2023,-0.168897086956
poverty_rate,idn.13.1310,primary,100,target_year_effect,2024,-0.250912562571
poverty_rate,idn.13.1311,primary,100,intercept,intercept_base_2019,6.2785504147
poverty_rate,idn.13.1311,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.498712444263
poverty_rate,idn.13.1311,primary,100,standardized_continuous_feature,labor_force_participation,0.35052981601
poverty_rate,idn.13.1311,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.228695467801
poverty_rate,idn.13.1311,primary,100,standardized_continuous_feature,mean_years_schooling,-0.364097609079
poverty_rate,idn.13.1311,primary,100,standardized_continuous_feature,rice_yield,-0.519164873432
poverty_rate,idn.13.1311,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1311,primary,100,target_year_effect,2020,-0.151634738208
poverty_rate,idn.13.1311,primary,100,target_year_effect,2021,0.123567278944
poverty_rate,idn.13.1311,primary,100,target_year_effect,2022,-0.249334685928
poverty_rate,idn.13.1311,primary,100,target_year_effect,2023,-0.194742548548
poverty_rate,idn.13.1311,primary,100,target_year_effect,2024,-0.226380016682
poverty_rate,idn.13.1312,primary,100,intercept,intercept_base_2019,6.25977823954
poverty_rate,idn.13.1312,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.465058787797
poverty_rate,idn.13.1312,primary,100,standardized_continuous_feature,labor_force_participation,0.356401757436
poverty_rate,idn.13.1312,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.277249223306
poverty_rate,idn.13.1312,primary,100,standardized_continuous_feature,mean_years_schooling,-0.33107413144
poverty_rate,idn.13.1312,primary,100,standardized_continuous_feature,rice_yield,-0.506109069413
poverty_rate,idn.13.1312,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1312,primary,100,target_year_effect,2020,-0.163551707072
poverty_rate,idn.13.1312,primary,100,target_year_effect,2021,0.0974944094086
poverty_rate,idn.13.1312,primary,100,target_year_effect,2022,-0.295093470928
poverty_rate,idn.13.1312,primary,100,target_year_effect,2023,-0.278103991444
poverty_rate,idn.13.1312,primary,100,target_year_effect,2024,-0.330525788341
poverty_rate,idn.13.1371,primary,100,intercept,intercept_base_2019,6.38440154276
poverty_rate,idn.13.1371,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.50079095507
poverty_rate,idn.13.1371,primary,100,standardized_continuous_feature,labor_force_participation,0.343734094789
poverty_rate,idn.13.1371,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.223960544999
poverty_rate,idn.13.1371,primary,100,standardized_continuous_feature,mean_years_schooling,-0.356968140063
poverty_rate,idn.13.1371,primary,100,standardized_continuous_feature,rice_yield,-0.491424000735
poverty_rate,idn.13.1371,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1371,primary,100,target_year_effect,2020,-0.158101941948
poverty_rate,idn.13.1371,primary,100,target_year_effect,2021,0.120018168474
poverty_rate,idn.13.1371,primary,100,target_year_effect,2022,-0.28139533438
poverty_rate,idn.13.1371,primary,100,target_year_effect,2023,-0.232458305597
poverty_rate,idn.13.1371,primary,100,target_year_effect,2024,-0.263916287526
poverty_rate,idn.13.1372,primary,100,intercept,intercept_base_2019,6.47532076968
poverty_rate,idn.13.1372,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.465588138068
poverty_rate,idn.13.1372,primary,100,standardized_continuous_feature,labor_force_participation,0.308968735023
poverty_rate,idn.13.1372,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.269424722907
poverty_rate,idn.13.1372,primary,100,standardized_continuous_feature,mean_years_schooling,-0.307770870747
poverty_rate,idn.13.1372,primary,100,standardized_continuous_feature,rice_yield,-0.475740852822
poverty_rate,idn.13.1372,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1372,primary,100,target_year_effect,2020,-0.160802760482
poverty_rate,idn.13.1372,primary,100,target_year_effect,2021,0.111273823673
poverty_rate,idn.13.1372,primary,100,target_year_effect,2022,-0.303968213667
poverty_rate,idn.13.1372,primary,100,target_year_effect,2023,-0.255799878759
poverty_rate,idn.13.1372,primary,100,target_year_effect,2024,-0.305405366635
poverty_rate,idn.13.1373,primary,100,intercept,intercept_base_2019,6.54048504295
poverty_rate,idn.13.1373,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.412935726239
poverty_rate,idn.13.1373,primary,100,standardized_continuous_feature,labor_force_participation,0.415050677703
poverty_rate,idn.13.1373,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.095616179264
poverty_rate,idn.13.1373,primary,100,standardized_continuous_feature,mean_years_schooling,-0.316258858864
poverty_rate,idn.13.1373,primary,100,standardized_continuous_feature,rice_yield,-0.525608749838
poverty_rate,idn.13.1373,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1373,primary,100,target_year_effect,2020,-0.1434096441
poverty_rate,idn.13.1373,primary,100,target_year_effect,2021,0.121830633463
poverty_rate,idn.13.1373,primary,100,target_year_effect,2022,-0.333575408478
poverty_rate,idn.13.1373,primary,100,target_year_effect,2023,-0.305119547687
poverty_rate,idn.13.1373,primary,100,target_year_effect,2024,-0.385414068679
poverty_rate,idn.13.1374,primary,100,intercept,intercept_base_2019,6.32333592423
poverty_rate,idn.13.1374,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.505912661355
poverty_rate,idn.13.1374,primary,100,standardized_continuous_feature,labor_force_participation,0.332958985444
poverty_rate,idn.13.1374,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.217963060598
poverty_rate,idn.13.1374,primary,100,standardized_continuous_feature,mean_years_schooling,-0.397019859211
poverty_rate,idn.13.1374,primary,100,standardized_continuous_feature,rice_yield,-0.548324436017
poverty_rate,idn.13.1374,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1374,primary,100,target_year_effect,2020,-0.122037720774
poverty_rate,idn.13.1374,primary,100,target_year_effect,2021,0.119780814867
poverty_rate,idn.13.1374,primary,100,target_year_effect,2022,-0.282464562466
poverty_rate,idn.13.1374,primary,100,target_year_effect,2023,-0.235765215485
poverty_rate,idn.13.1374,primary,100,target_year_effect,2024,-0.270084417051
poverty_rate,idn.13.1375,primary,100,intercept,intercept_base_2019,6.36240421813
poverty_rate,idn.13.1375,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.507898592642
poverty_rate,idn.13.1375,primary,100,standardized_continuous_feature,labor_force_participation,0.322670587483
poverty_rate,idn.13.1375,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.190922998421
poverty_rate,idn.13.1375,primary,100,standardized_continuous_feature,mean_years_schooling,-0.343339469433
poverty_rate,idn.13.1375,primary,100,standardized_continuous_feature,rice_yield,-0.544008999855
poverty_rate,idn.13.1375,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1375,primary,100,target_year_effect,2020,-0.158153445806
poverty_rate,idn.13.1375,primary,100,target_year_effect,2021,0.125840599432
poverty_rate,idn.13.1375,primary,100,target_year_effect,2022,-0.290630505913
poverty_rate,idn.13.1375,primary,100,target_year_effect,2023,-0.183353165543
poverty_rate,idn.13.1375,primary,100,target_year_effect,2024,-0.212017679852
