target_id,geography_id,target_year,feature_year,feature_id,focal_value,same_year_training_min,same_year_training_max,inside_same_year_marginal_minmax
poverty_rate,idn.13.1304,2024,2023,manufacturing_share_grdp,2.73905685432,2.45236049116,13.2257433087,true
poverty_rate,idn.13.1304,2024,2023,rice_yield,3.649,2.473,6.397,true
poverty_rate,idn.13.1305,2019,2018,mean_years_schooling,8.44,6.95,11.44,true
poverty_rate,idn.13.1305,2019,2018,labor_force_participation,69.03,62.78,75,true
poverty_rate,idn.13.1305,2019,2018,agriculture_share_grdp,30.6592332547,1.20300916108,49.4719795015,true
poverty_rate,idn.13.1305,2019,2018,manufacturing_share_grdp,11.0347251232,2.68051558212,14.8096558871,true
poverty_rate,idn.13.1305,2019,2018,rice_yield,5.267,2.635,5.863,true
poverty_rate,idn.13.1305,2020,2019,mean_years_schooling,8.45,7.08,11.45,true
poverty_rate,idn.13.1305,2020,2019,labor_force_participation,69.25,61.98,83.1,true
poverty_rate,idn.13.1305,2020,2019,agriculture_share_grdp,29.76750085,1.14440743751,47.9219347696,true
poverty_rate,idn.13.1305,2020,2019,manufacturing_share_grdp,10.5012656361,2.33201438797,13.0743610773,true
poverty_rate,idn.13.1305,2020,2019,rice_yield,5.612,2.517,6.541,true
poverty_rate,idn.13.1305,2021,2020,mean_years_schooling,8.61,7.09,11.62,true
poverty_rate,idn.13.1305,2021,2020,labor_force_participation,69.42,64.16,81.65,true
poverty_rate,idn.13.1305,2021,2020,agriculture_share_grdp,29.8197350606,1.17543884765,48.6502573418,true
poverty_rate,idn.13.1305,2021,2020,manufacturing_share_grdp,10.4845983999,2.42455143813,13.2895862346,true
poverty_rate,idn.13.1305,2021,2020,rice_yield,5.335,2.471,6.467,true
poverty_rate,idn.13.1305,2022,2021,mean_years_schooling,8.62,7.2,11.63,true
poverty_rate,idn.13.1305,2022,2021,labor_force_participation,66.88,62.7,82.57,true
poverty_rate,idn.13.1305,2022,2021,agriculture_share_grdp,28.5720121537,1.15532458751,48.8645358781,true
poverty_rate,idn.13.1305,2022,2021,manufacturing_share_grdp,10.7228009327,2.57248004994,13.765815103,true
poverty_rate,idn.13.1305,2022,2021,rice_yield,5.639,2.497,6.932,true
poverty_rate,idn.13.1305,2023,2022,mean_years_schooling,8.9,7.48,11.92,true
poverty_rate,idn.13.1305,2023,2022,labor_force_participation,70.9,62.81,78.25,true
poverty_rate,idn.13.1305,2023,2022,agriculture_share_grdp,27.8040912669,1.09876323204,48.0176761546,true
poverty_rate,idn.13.1305,2023,2022,manufacturing_share_grdp,10.6791191946,2.48115099295,13.6248557355,true
poverty_rate,idn.13.1305,2023,2022,rice_yield,5.476,2.298,7.001,true
poverty_rate,idn.13.1305,2024,2023,mean_years_schooling,9.02,7.76,11.94,true
poverty_rate,idn.13.1305,2024,2023,labor_force_participation,69.43,65,80.07,true
poverty_rate,idn.13.1305,2024,2023,agriculture_share_grdp,27.6125975821,1.05966279992,48.4488181812,true
poverty_rate,idn.13.1305,2024,2023,manufacturing_share_grdp,10.4635476677,2.45236049116,13.2257433087,true
poverty_rate,idn.13.1305,2024,2023,rice_yield,5.461,2.473,6.397,true
poverty_rate,idn.13.1306,2019,2018,mean_years_schooling,7.5,6.95,11.44,true
poverty_rate,idn.13.1306,2019,2018,labor_force_participation,65.56,62.78,75,true
poverty_rate,idn.13.1306,2019,2018,agriculture_share_grdp,18.6502036815,1.20300916108,49.4719795015,true
poverty_rate,idn.13.1306,2019,2018,manufacturing_share_grdp,9.63032303668,2.68051558212,14.8096558871,true
poverty_rate,idn.13.1306,2019,2018,rice_yield,4.605,2.635,5.863,true
poverty_rate,idn.13.1306,2020,2019,mean_years_schooling,7.86,7.08,11.45,true
poverty_rate,idn.13.1306,2020,2019,labor_force_participation,63.23,61.98,83.1,true
poverty_rate,idn.13.1306,2020,2019,agriculture_share_grdp,19.2072190287,1.14440743751,47.9219347696,true
poverty_rate,idn.13.1306,2020,2019,manufacturing_share_grdp,9.3506591371,2.33201438797,13.0743610773,true
poverty_rate,idn.13.1306,2020,2019,rice_yield,4.804,2.517,6.541,true
poverty_rate,idn.13.1306,2021,2020,mean_years_schooling,7.87,7.09,11.62,true
poverty_rate,idn.13.1306,2021,2020,labor_force_participation,67.18,64.16,81.65,true
poverty_rate,idn.13.1306,2021,2020,agriculture_share_grdp,22.6795071525,1.17543884765,48.6502573418,true
poverty_rate,idn.13.1306,2021,2020,manufacturing_share_grdp,11.1938722244,2.42455143813,13.2895862346,true
poverty_rate,idn.13.1306,2021,2020,rice_yield,4.698,2.471,6.467,true
poverty_rate,idn.13.1306,2022,2021,mean_years_schooling,7.88,7.2,11.63,true
poverty_rate,idn.13.1306,2022,2021,labor_force_participation,64.64,62.7,82.57,true
poverty_rate,idn.13.1306,2022,2021,agriculture_share_grdp,22.6502752152,1.15532458751,48.8645358781,true
poverty_rate,idn.13.1306,2022,2021,manufacturing_share_grdp,11.9481403525,2.57248004994,13.765815103,true
poverty_rate,idn.13.1306,2022,2021,rice_yield,4.537,2.497,6.932,true
poverty_rate,idn.13.1306,2023,2022,mean_years_schooling,8.16,7.48,11.92,true
poverty_rate,idn.13.1306,2023,2022,labor_force_participation,70.44,62.81,78.25,true
poverty_rate,idn.13.1306,2023,2022,agriculture_share_grdp,21.3683024124,1.09876323204,48.0176761546,true
poverty_rate,idn.13.1306,2023,2022,manufacturing_share_grdp,10.9155525539,2.48115099295,13.6248557355,true
poverty_rate,idn.13.1306,2023,2022,rice_yield,4.958,2.298,7.001,true
poverty_rate,idn.13.1306,2024,2023,mean_years_schooling,8.41,7.76,11.94,true
poverty_rate,idn.13.1306,2024,2023,labor_force_participation,65.18,65,80.07,true
poverty_rate,idn.13.1306,2024,2023,agriculture_share_grdp,20.5516786228,1.05966279992,48.4488181812,true
poverty_rate,idn.13.1306,2024,2023,manufacturing_share_grdp,10.480929446,2.45236049116,13.2257433087,true
poverty_rate,idn.13.1306,2024,2023,rice_yield,4.914,2.473,6.397,true
poverty_rate,idn.13.1307,2019,2018,mean_years_schooling,8.69,6.95,11.44,true
poverty_rate,idn.13.1307,2019,2018,labor_force_participation,68.56,62.78,75,true
poverty_rate,idn.13.1307,2019,2018,agriculture_share_grdp,31.5160867837,1.20300916108,49.4719795015,true
poverty_rate,idn.13.1307,2019,2018,manufacturing_share_grdp,10.7325703909,2.68051558212,14.8096558871,true
poverty_rate,idn.13.1307,2019,2018,rice_yield,5.167,2.635,5.863,true
poverty_rate,idn.13.1307,2020,2019,mean_years_schooling,8.85,7.08,11.45,true
poverty_rate,idn.13.1307,2020,2019,labor_force_participation,69.59,61.98,83.1,true
poverty_rate,idn.13.1307,2020,2019,agriculture_share_grdp,30.0990958753,1.14440743751,47.9219347696,true
poverty_rate,idn.13.1307,2020,2019,manufacturing_share_grdp,9.82429325865,2.33201438797,13.0743610773,true
poverty_rate,idn.13.1307,2020,2019,rice_yield,4.932,2.517,6.541,true
poverty_rate,idn.13.1307,2021,2020,mean_years_schooling,8.96,7.09,11.62,true
poverty_rate,idn.13.1307,2021,2020,labor_force_participation,70.29,64.16,81.65,true
poverty_rate,idn.13.1307,2021,2020,agriculture_share_grdp,30.0031568855,1.17543884765,48.6502573418,true
poverty_rate,idn.13.1307,2021,2020,manufacturing_share_grdp,9.72625905972,2.42455143813,13.2895862346,true
poverty_rate,idn.13.1307,2021,2020,rice_yield,5.236,2.471,6.467,true
poverty_rate,idn.13.1307,2022,2021,mean_years_schooling,8.97,7.2,11.63,true
poverty_rate,idn.13.1307,2022,2021,labor_force_participation,66.49,62.7,82.57,true
poverty_rate,idn.13.1307,2022,2021,agriculture_share_grdp,29.5297826094,1.15532458751,48.8645358781,true
poverty_rate,idn.13.1307,2022,2021,manufacturing_share_grdp,9.89562553406,2.57248004994,13.765815103,true
poverty_rate,idn.13.1307,2022,2021,rice_yield,5.14,2.497,6.932,true
poverty_rate,idn.13.1307,2023,2022,mean_years_schooling,8.98,7.48,11.92,true
poverty_rate,idn.13.1307,2023,2022,labor_force_participation,73.05,62.81,78.25,true
poverty_rate,idn.13.1307,2023,2022,agriculture_share_grdp,28.7047074801,1.09876323204,48.0176761546,true
poverty_rate,idn.13.1307,2023,2022,manufacturing_share_grdp,9.98890758778,2.48115099295,13.6248557355,true
poverty_rate,idn.13.1307,2023,2022,rice_yield,4.954,2.298,7.001,true
poverty_rate,idn.13.1307,2024,2023,mean_years_schooling,9.22,7.76,11.94,true
poverty_rate,idn.13.1307,2024,2023,labor_force_participation,69.16,65,80.07,true
poverty_rate,idn.13.1307,2024,2023,agriculture_share_grdp,28.2013574884,1.05966279992,48.4488181812,true
