target_id,dimension_id,geography_id,geography_name,target_year,feature_year,expected_gap_rmse_units,favorable_peer_gap_rmse_units,m11_support_warning,gap_interpretation_authorized,expected_interval_classification,lag1_expected_years_schooling,lag1_life_expectancy,lag1_underemployment_rate,lag1_annual_rainfall
poverty_rate,living_standards_inclusion,idn.13.1373,Sawahlunto,2024,2023,-1.10187921904,-0.317549676354,false,true,materially_more_favorable_than_expected,13.69,73.79,8.26,2942.35941
poverty_rate,living_standards_inclusion,idn.13.1374,Padang Panjang,2021,2020,0.80678381772,1.66218374904,true,false,within_expected_interval,15.06,73.83,6.44,2811.671422
poverty_rate,living_standards_inclusion,idn.13.1374,Padang Panjang,2022,2021,0.939504772555,1.79490470387,true,false,within_expected_interval,15.07,73.93,6.58,3026.15477
poverty_rate,living_standards_inclusion,idn.13.1374,Padang Panjang,2023,2022,1.30650237056,2.16190230188,true,false,within_expected_interval,15.07,74.03,2.04,3651.476589
poverty_rate,living_standards_inclusion,idn.13.1374,Padang Panjang,2024,2023,1.09109626246,1.94649619378,true,false,within_expected_interval,15.29,74.24,5.75,2824.530171
poverty_rate,living_standards_inclusion,idn.13.1375,Bukittinggi,2021,2020,0.390272772914,1.24567270423,true,false,within_expected_interval,14.97,74.58,8.89,2266.408824
poverty_rate,living_standards_inclusion,idn.13.1375,Bukittinggi,2022,2021,0.622244210657,1.47764414198,true,false,within_expected_interval,14.98,74.7,7.9,2376.071718
poverty_rate,living_standards_inclusion,idn.13.1375,Bukittinggi,2023,2022,0.432099262746,1.28749919406,true,false,within_expected_interval,14.99,75.02,4.25,3069.58042
poverty_rate,living_standards_inclusion,idn.13.1375,Bukittinggi,2024,2023,0.11685964738,0.972259578698,true,false,within_expected_interval,15.01,75.33,7.07,2354.011592
poverty_rate,living_standards_inclusion,idn.13.1376,Payakumbuh,2021,2020,0.369035979349,1.22443591067,false,true,within_expected_interval,14.26,74.08,7.25,2261.885902
poverty_rate,living_standards_inclusion,idn.13.1376,Payakumbuh,2022,2021,0.239790800266,1.09519073158,false,true,within_expected_interval,14.27,74.18,8.24,2362.419395
poverty_rate,living_standards_inclusion,idn.13.1376,Payakumbuh,2023,2022,0.306031817385,1.1614317487,false,true,within_expected_interval,14.29,74.48,5.37,3156.634559
poverty_rate,living_standards_inclusion,idn.13.1376,Payakumbuh,2024,2023,0.0525520161686,0.907951947487,false,true,within_expected_interval,14.3,74.77,6.66,2473.81129
poverty_rate,living_standards_inclusion,idn.13.1377,Pariaman,2021,2020,-0.604985467859,0.250414463459,true,false,within_expected_interval,14.54,73.59,13.36,4428.394673
poverty_rate,living_standards_inclusion,idn.13.1377,Pariaman,2022,2021,-0.495751311534,0.359648619783,true,false,within_expected_interval,14.55,73.69,11.43,4955.780563
poverty_rate,living_standards_inclusion,idn.13.1377,Pariaman,2023,2022,-0.541690264079,0.313709667239,false,true,within_expected_interval,14.61,73.98,6.97,5719.996265
poverty_rate,living_standards_inclusion,idn.13.1377,Pariaman,2024,2023,-0.714973409784,0.140426521533,false,true,within_expected_interval,14.79,74.2,8.81,4147.905615
