series_id,indicator_id,bps_var_id,year,period_available,period_id,selected_turvar_id,selected_turvar_label,selected_turth_id,selected_turth_label,stable32_required_count,vertical_dimension,source_title,source_unit,source_last_update,selected_row_count_all_geographies,stable32_selected_count,missing_stable32_codes,duplicate_stable32_codes,selected_excluded_current_codes,nonfinite_stable32_value_count,expected_source_unit_match,exact_selector_labels_match,probe_pass,hold_reasons,normalizer_observed_values,semantic_sha256
m5_underemployment_source_period,underemployment_rate,1181,2019,True,119,0,Tidak ada,0,Tahun,32,38 Provinsi,Tingkat Setengah Pengangguran Menurut Provinsi,Persen,2026-02-24 13:56:37,35,32,,,9100|9400,0,True,True,True,,35,5bfd168dfb5b7323232fbfc885c3c10c9e55e35f96f56b472fbb9e5df7f44a38
m5_underemployment_source_period,underemployment_rate,1181,2020,True,120,0,Tidak ada,0,Tahun,32,38 Provinsi,Tingkat Setengah Pengangguran Menurut Provinsi,Persen,2026-02-24 13:56:37,35,32,,,9100|9400,0,True,True,True,,35,209159dea9cafb11e9aa98d584ca6fe2409fe2012c5c574a53ab6257b54be431
m5_underemployment_source_period,underemployment_rate,1181,2021,True,121,0,Tidak ada,0,Tahun,32,38 Provinsi,Tingkat Setengah Pengangguran Menurut Provinsi,Persen,2026-02-24 13:56:37,35,32,,,9100|9400,0,True,True,True,,35,7d4b057ce9fb5b14379ea5b8edbdb66491c4b6951ed26a32246f311860d2025b
m5_underemployment_source_period,underemployment_rate,1181,2022,True,122,0,Tidak ada,0,Tahun,32,38 Provinsi,Tingkat Setengah Pengangguran Menurut Provinsi,Persen,2026-02-24 13:56:37,35,32,,,9100|9400,0,True,True,True,,35,212d8462c0b18470f1c653cf3ecd8e8470aa0dcc6de8d54f5e4b1d4f75b4daf6
m5_underemployment_source_period,underemployment_rate,1181,2023,True,123,0,Tidak ada,0,Tahun,32,38 Provinsi,Tingkat Setengah Pengangguran Menurut Provinsi,Persen,2026-02-24 13:56:37,35,32,,,9100|9400,0,True,True,True,,35,34fdf6d8ce4185f35797c41afb1a8719c4c727340e89555d682b63522a4be0e2
m5_underemployment_source_period,underemployment_rate,1181,2024,True,124,0,Tidak ada,0,Tahun,32,38 Provinsi,Tingkat Setengah Pengangguran Menurut Provinsi,Persen,2026-02-24 13:56:37,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,39,59305e326a1c6de37104b1c3852d6c4842f20b84cd1a4e8d2dacf364de064f01
m5_underemployment_source_period,underemployment_rate,1181,2025,True,125,0,Tidak ada,0,Tahun,32,38 Provinsi,Tingkat Setengah Pengangguran Menurut Provinsi,Persen,2026-02-24 13:56:37,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,39,95c4258d1249fbbb6c598198b47705f906ce63e90137ac12b39da4720622d4d4
m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2018,True,118,531,Harga Konstan 2010,0,Tahun,32,38 Provinsi,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,2026-02-19 10:24:55,35,32,,,9100|9400,0,True,True,True,,70,02d9a52ced4abfa28eaad5c8436d2d1b726ab7def21873f67f8fb3e429b3dee8
m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2019,True,119,531,Harga Konstan 2010,0,Tahun,32,38 Provinsi,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,2026-02-19 10:24:55,35,32,,,9100|9400,0,True,True,True,,70,be6e219c05906e7235657931c42cc714d8f0398b7804ee29f348abb530dac14d
m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2020,True,120,531,Harga Konstan 2010,0,Tahun,32,38 Provinsi,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,2026-02-19 10:24:55,35,32,,,9100|9400,0,True,True,True,,70,a4f5ad4d3d0d7c0c8f8a1dfda2b08a0e98d3177950968c258e1a8f25029df8a0
