target_id,dimension_id,target_direction,geography_id,geography_name,target_year,observed,m11_expected,m11_prediction_interval_lower,m11_prediction_interval_upper,expected_interval_classification,expected_adverse_gap,m11_target_crossfit_rmse,expected_gap_rmse_units,m12_primary_favorable_reference,favorable_peer_gap,favorable_peer_gap_rmse_units,m12_alternative_favorable_reference,alternative_favorable_peer_gap,alternative_gap_rmse_units,frontier_gap_primary_sign,frontier_gap_alternative_sign,frontier_gap_sign_agreement,m11_benchmark_qualified,m11_support_warning,m12_primary_frontier_calibrated,gap_interpretation_authorized,expected_gap_claim_type,favorable_peer_gap_claim_type,causal_claim,theoretical_maximum_claim,policy_counterfactual_claim,monetary_wasted_potential_claim
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1304,Sijunjung,2023,5.88,7.42336357872,4.46663424597,13.9373889201,within_expected_interval,-1.54336357872,1.9592487017,-0.787732347293,5.76399276687,0.116007233127,0.0592100599716,6.005,-0.125,-0.0637999657172,1,-1,false,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1304,Sijunjung,2024,5.78,7.45107614505,4.49434681231,13.9651014864,within_expected_interval,-1.67107614505,1.9592487017,-0.852916806121,5.7917053332,-0.011705333203,-0.00597439885648,4.79,0.99,0.505295728481,-1,1,false,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1305,Tanah Datar,2019,4.66,6.34729301111,3.39056367836,12.8613183525,within_expected_interval,-1.68729301111,1.9592487017,-0.86119389011,4.75525969274,-0.095259692736,-0.0486205210463,5.755,-1.095,-0.558887699683,-1,-1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1305,Tanah Datar,2020,4.4,6.04740415502,3.09067482227,12.5614294964,within_expected_interval,-1.64740415502,1.9592487017,-0.840834628902,4.45537083665,-0.055370836646,-0.028261259838,3.13,1.27,0.648207651687,-1,1,false,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1305,Tanah Datar,2021,4.54,6.45438073236,3.49765139961,12.9684060737,within_expected_interval,-1.91438073236,1.9592487017,-0.977099400754,4.86234741399,-0.322347413986,-0.164526031691,4.615,-0.075,-0.0382799794303,-1,-1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1305,Tanah Datar,2022,4.26,5.59113288608,2.63440355333,12.1051582275,within_expected_interval,-1.33113288608,1.9592487017,-0.679409859976,3.99909956771,0.260900432294,0.133163509088,4.25,0.01,0.00510399725738,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1305,Tanah Datar,2023,4.16,5.98474096314,3.0280116304,12.4987663045,within_expected_interval,-1.82474096314,1.9592487017,-0.931347287129,4.39270764477,-0.232707644766,-0.118773918066,3.915,0.245,0.125047932806,-1,1,false,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1305,Tanah Datar,2024,4.28,5.78428031367,2.82755098092,12.298305655,within_expected_interval,-1.50428031367,1.9592487017,-0.76778425953,4.1922469953,0.087753004704,0.0447891095336,4.3,-0.02,-0.0102079945148,1,-1,false,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1306,Padang Pariaman,2019,7.1,6.04047175418,3.08374242144,12.5544970956,within_expected_interval,1.05952824582,1.9592487017,0.540782926078,4.36453054931,2.73546945069,1.3961828574,4.71,2.39,1.21985534451,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
poverty_rate,living_standards_inclusion,lower_is_favorable,idn.13.1306,Padang Pariaman,2020,6.95,5.51801037145,2.56128103871,12.0320357128,within_expected_interval,1.43198962855,1.9592487017,0.730887113671,3.84206916658,3.10793083342,1.58628704499,3.28,3.67,1.87316699346,1,1,true,true,false,true,true,model_estimate_difference,model_estimate_empirical_peer_reference_difference,false,false,false,false
