year,geography_id,geography_name,irbi_hazard_id,irbi_source_hazard_label,risk_score,risk_class,krb_hazard_id,krb_source_hazard_label,mitigation_action_count,recommendation_action_detail_status,bridge_status,claim_type,numeric_value_equivalence_authorized,event_taxonomy_join_authorized,prediction_claim_authorized
2024,idn.13.1305,Tanah Datar,extreme_weather,Cuaca Ekstrim,13.60,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1306,Padang Pariaman,extreme_weather,Cuaca Ekstrim,9.02,sedang,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1307,Agam,extreme_weather,Cuaca Ekstrim,13.35,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1308,Lima Puluh Kota,extreme_weather,Cuaca Ekstrim,13.60,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1309,Pasaman,extreme_weather,Cuaca Ekstrim,13.60,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1310,Solok Selatan,extreme_weather,Cuaca Ekstrim,10.67,sedang,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1311,Dharmasraya,extreme_weather,Cuaca Ekstrim,11.32,sedang,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1312,Pasaman Barat,extreme_weather,Cuaca Ekstrim,11.29,sedang,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1371,Padang,extreme_weather,Cuaca Ekstrim,12.70,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1372,Solok,extreme_weather,Cuaca Ekstrim,12.16,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1373,Sawahlunto,extreme_weather,Cuaca Ekstrim,10.21,sedang,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1374,Padang Panjang,extreme_weather,Cuaca Ekstrim,13.60,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
