target_id,geography_id,target_year,k_neighbors,favorable_neighbor_count,favorable_neighbor_ids,favorable_neighbor_outcomes,favorable_neighbor_distances,favorable_reference,distance_to_favorable_reference,difference_vs_locked_k6_reference,sensitivity_can_replace_locked_k6
poverty_rate,idn.13.1307,2021,7,2,idn.13.1373|idn.13.1305,2.38|4.54,1.97425920412|0.407160970773,3.46,3.39,-2.145,false
poverty_rate,idn.13.1307,2022,5,2,idn.13.1373|idn.13.1305,2.28|4.26,1.76188108643|0.630407688909,3.27,2.95,0,false
poverty_rate,idn.13.1307,2022,7,2,idn.13.1373|idn.13.1377,2.28|4.13,1.76188108643|1.89024445086,3.205,3.015,-0.065,false
poverty_rate,idn.13.1307,2023,5,2,idn.13.1305|idn.13.1311,4.16|5.56,0.717088127905|1.54712094593,4.86,1.74,0,false
poverty_rate,idn.13.1307,2023,7,2,idn.13.1305|idn.13.1377,4.16|4.2,0.717088127905|2.06601887074,4.18,2.42,-0.68,false
poverty_rate,idn.13.1307,2024,5,2,idn.13.1305|idn.13.1306,4.28|6.27,0.630873477607|1.24065844656,5.275,1.555,1.005,false
poverty_rate,idn.13.1307,2024,7,2,idn.13.1377|idn.13.1305,4.26|4.28,1.76422894785|0.630873477607,4.27,2.56,0,false
poverty_rate,idn.13.1308,2019,5,2,idn.13.1311|idn.13.1304,6.29|7.04,1.51783529918|1.94899388883,6.665,0.305,0.145,false
poverty_rate,idn.13.1308,2019,7,2,idn.13.1305|idn.13.1311,4.66|6.29,2.30857347395|1.51783529918,5.475,1.495,-1.045,false
poverty_rate,idn.13.1308,2020,5,2,idn.13.1311|idn.13.1310,6.23|7.15,1.04416851486|0.724084561649,6.69,0.17,0.185,false
poverty_rate,idn.13.1308,2020,7,2,idn.13.1311|idn.13.1307,6.23|6.75,1.04416851486|1.7685484164,6.49,0.37,-0.015,false
poverty_rate,idn.13.1308,2021,5,2,idn.13.1311|idn.13.1304,6.67|6.8,0.66987904225|1.38109601909,6.735,0.555,0,false
poverty_rate,idn.13.1308,2021,7,2,idn.13.1305|idn.13.1311,4.54|6.67,1.90317407133|0.66987904225,5.605,1.685,-1.13,false
poverty_rate,idn.13.1308,2022,5,2,idn.13.1311|idn.13.1310,5.56|6.51,0.854762696495|0.817269563906,6.035,0.555,0.255,false
poverty_rate,idn.13.1308,2022,7,2,idn.13.1311|idn.13.1304,5.56|6,0.854762696495|1.40940581121,5.78,0.81,0,false
poverty_rate,idn.13.1308,2023,5,2,idn.13.1311|idn.13.1310,5.56|6.45,0.883424794203|1.17971767315,6.005,0.795,0.055,false
poverty_rate,idn.13.1308,2023,7,2,idn.13.1305|idn.13.1311,4.16|5.56,1.8082447713|0.883424794203,4.86,1.94,-1.09,false
poverty_rate,idn.13.1308,2024,5,2,idn.13.1311|idn.13.1310,5.32|6.56,0.80023896648|1.48037980351,5.94,0.98,1.14,false
poverty_rate,idn.13.1308,2024,7,2,idn.13.1305|idn.13.1311,4.28|5.32,1.74012580409|0.80023896648,4.8,2.12,0,false
poverty_rate,idn.13.1309,2019,5,2,idn.13.1311|idn.13.1308,6.29|6.97,1.50491658406|2.20411815589,6.63,0.58,0,false
poverty_rate,idn.13.1309,2019,7,2,idn.13.1311|idn.13.1308,6.29|6.97,1.50491658406|2.20411815589,6.63,0.58,0,false
poverty_rate,idn.13.1309,2020,5,2,idn.13.1311|idn.13.1308,6.23|6.86,1.55707451297|1.3944815464,6.545,0.615,0.04,false
poverty_rate,idn.13.1309,2020,7,2,idn.13.1311|idn.13.1307,6.23|6.75,1.55707451297|2.47853816018,6.49,0.67,-0.015,false
poverty_rate,idn.13.1309,2021,5,2,idn.13.1311|idn.13.1304,6.67|6.8,1.55730739828|1.73052715095,6.735,0.745,0,false
poverty_rate,idn.13.1309,2021,7,2,idn.13.1311|idn.13.1304,6.67|6.8,1.55730739828|1.73052715095,6.735,0.745,0,false
poverty_rate,idn.13.1309,2022,5,2,idn.13.1311|idn.13.1310,5.56|6.51,1.74832265802|1.61703023622,6.035,0.815,0.255,false
poverty_rate,idn.13.1309,2022,7,2,idn.13.1311|idn.13.1304,5.56|6,1.74832265802|1.76221680345,5.78,1.07,0,false
poverty_rate,idn.13.1309,2023,5,2,idn.13.1311|idn.13.1310,5.56|6.45,1.71746777211|1.70530605964,6.005,0.795,0.285,false
poverty_rate,idn.13.1309,2023,7,2,idn.13.1311|idn.13.1304,5.56|5.88,1.71746777211|2.34418974821,5.72,1.08,0,false
poverty_rate,idn.13.1309,2024,5,2,idn.13.1311|idn.13.1304,5.32|5.78,1.60960012024|2.13876914838,5.55,1.19,0,false
poverty_rate,idn.13.1309,2024,7,2,idn.13.1311|idn.13.1304,5.32|5.78,1.60960012024|2.13876914838,5.55,1.19,0,false
poverty_rate,idn.13.1310,2019,5,2,idn.13.1311|idn.13.1308,6.29|6.97,2.15479294239|0.789547031149,6.63,0.7,0.645,false
poverty_rate,idn.13.1310,2019,7,2,idn.13.1376|idn.13.1311,5.68|6.29,2.80139232156|2.15479294239,5.985,1.345,0,false
poverty_rate,idn.13.1310,2020,5,2,idn.13.1311|idn.13.1304,6.23|6.78,0.712739706913|1.1965196958,6.505,0.645,0,false
poverty_rate,idn.13.1310,2020,7,2,idn.13.1311|idn.13.1307,6.23|6.75,0.712739706913|2.10780981874,6.49,0.66,-0.015,false
poverty_rate,idn.13.1310,2021,5,2,idn.13.1311|idn.13.1304,6.67|6.8,1.10467764459|0.834723252684,6.735,0.785,0,false
poverty_rate,idn.13.1310,2021,7,2,idn.13.1311|idn.13.1304,6.67|6.8,1.10467764459|0.834723252684,6.735,0.785,0,false
poverty_rate,idn.13.1310,2022,5,2,idn.13.1311|idn.13.1304,5.56|6,1.01756698356|0.789549226127,5.78,0.73,0,false
poverty_rate,idn.13.1310,2022,7,2,idn.13.1311|idn.13.1304,5.56|6,1.01756698356|0.789549226127,5.78,0.73,0,false
poverty_rate,idn.13.1310,2023,5,2,idn.13.1311|idn.13.1307,5.56|6.6,1.65556780494|2.30099108122,6.08,0.37,0.36,false
poverty_rate,idn.13.1310,2023,7,2,idn.13.1311|idn.13.1304,5.56|5.88,1.65556780494|2.39208479698,5.72,0.73,0,false
poverty_rate,idn.13.1310,2024,5,2,idn.13.1311|idn.13.1304,5.32|5.78,0.891144068738|2.17393591565,5.55,1.01,0.76,false
poverty_rate,idn.13.1310,2024,7,2,idn.13.1377|idn.13.1311,4.26|5.32,2.42692509836|0.891144068738,4.79,1.77,0,false
poverty_rate,idn.13.1311,2019,5,2,idn.13.1308|idn.13.1304,6.97|7.04,1.44698523544|0.987034447594,7.005,-0.715,0,false
poverty_rate,idn.13.1311,2019,7,2,idn.13.1308|idn.13.1304,6.97|7.04,1.44698523544|0.987034447594,7.005,-0.715,0,false
poverty_rate,idn.13.1311,2020,5,2,idn.13.1308|idn.13.1310,6.86|7.15,1.03159493753|0.704859732962,7.005,-0.775,0.185,false
poverty_rate,idn.13.1311,2020,7,2,idn.13.1307|idn.13.1304,6.75|6.78,1.61594756779|1.58005433404,6.765,-0.535,-0.055,false
poverty_rate,idn.13.1311,2021,5,2,idn.13.1304|idn.13.1308,6.8|7.29,1.10208551758|0.66790849324,7.045,-0.375,0.22,false
poverty_rate,idn.13.1311,2021,7,2,idn.13.1305|idn.13.1304,4.54|6.8,2.10288968163|1.10208551758,5.67,1,-1.155,false
poverty_rate,idn.13.1311,2022,5,2,idn.13.1304|idn.13.1310,6|6.51,1.66299900206|0.994089633762,6.255,-0.695,0,false
poverty_rate,idn.13.1311,2022,7,2,idn.13.1304|idn.13.1307,6|6.22,1.66299900206|2.06287328417,6.11,-0.55,-0.145,false
poverty_rate,idn.13.1311,2023,5,2,idn.13.1304|idn.13.1310,5.88|6.45,1.38695136888|1.53553096994,6.165,-0.605,0,false
poverty_rate,idn.13.1311,2023,7,2,idn.13.1304|idn.13.1310,5.88|6.45,1.38695136888|1.53553096994,6.165,-0.605,0,false
poverty_rate,idn.13.1311,2024,5,2,idn.13.1304|idn.13.1310,5.78|6.56,1.81552944686|0.862650001202,6.17,-0.85,1.15,false
poverty_rate,idn.13.1311,2024,7,2,idn.13.1377|idn.13.1304,4.26|5.78,1.816619439|1.81552944686,5.02,0.3,0,false
poverty_rate,idn.13.1312,2019,5,2,idn.13.1305|idn.13.1307,4.66|6.75,1.71351713105|1.72613040907,5.705,1.435,0.23,false
poverty_rate,idn.13.1312,2019,7,2,idn.13.1373|idn.13.1305,2.17|4.66,3.30136321489|1.71351713105,3.415,3.725,-2.06,false
poverty_rate,idn.13.1312,2020,5,2,idn.13.1373|idn.13.1305,2.16|4.4,2.86644019011|1.85974506401,3.28,3.76,0,false
poverty_rate,idn.13.1312,2020,7,2,idn.13.1373|idn.13.1305,2.16|4.4,2.86644019011|1.85974506401,3.28,3.76,0,false
poverty_rate,idn.13.1312,2021,5,2,idn.13.1305|idn.13.1307,4.54|6.85,1.47985821795|1.73645851379,5.695,1.815,2.235,false
poverty_rate,idn.13.1312,2021,7,2,idn.13.1373|idn.13.1377,2.38|4.38,2.79239650983|3.19289538118,3.38,4.13,-0.08,false
poverty_rate,idn.13.1312,2022,5,2,idn.13.1305|idn.13.1307,4.26|6.22,1.59427961549|1.59508098556,5.24,1.69,1.97,false
poverty_rate,idn.13.1312,2022,7,2,idn.13.1373|idn.13.1305,2.28|4.26,2.7878415478|1.59427961549,3.27,3.66,0,false
poverty_rate,idn.13.1312,2023,5,2,idn.13.1305|idn.13.1377,4.16|4.2,2.12636092265|3.2630724167,4.18,2.74,0.015,false
poverty_rate,idn.13.1312,2023,7,2,idn.13.1373|idn.13.1305,2.27|4.16,3.32659373875|2.12636092265,3.215,3.705,-0.95,false
poverty_rate,idn.13.1312,2024,5,2,idn.13.1305|idn.13.1306,4.28|6.27,1.58866362562|1.66929083248,5.275,1.725,1.97,false
