year,irbi_hazard_id,source_hazard_label,source_rank,source_geography_name,score,risk_class,source_page,source_url
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,50,SIJUNJUNG,35.48,TINGGI,261,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page261.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,52,AGAM,35.33,TINGGI,261,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page261.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,59,KOTA PAYAKUMBUH,34.80,TINGGI,261,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page261.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,82,KOTA SOLOK,32.20,TINGGI,262,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page262.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,95,DHARMASRAYA,29.97,TINGGI,262,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page262.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,96,PASAMAN BARAT,29.89,TINGGI,262,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page262.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,108,SOLOK SELATAN,28.24,TINGGI,263,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page263.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,171,KOTA PADANG PANJANG,24.00,TINGGI,265,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page265.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,205,PADANG PARIAMAN,23.87,TINGGI,266,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page266.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,236,KOTA SAWAHLUNTO,22.51,TINGGI,267,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page267.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,238,KOTA PADANG,22.41,TINGGI,267,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page267.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,301,KEPULAUAN MENTAWAI,19.73,TINGGI,268,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page268.html
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,400,KOTA PARIAMAN,16.49,TINGGI,271,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page271.html
